,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,precipitation
197,-8.4,-12.7,71,11,25.0,101.93,0
198,-7.7,-11.9,72,11,25.0,101.86,0
199,-6.8,-11.0,72,15,25.0,101.8,0
200,-5.9,-10.5,70,13,16.1,101.74,1
201,-5.4,-9.2,75,11,12.9,101.68,1
202,-4.8,-8.3,76,9,16.1,101.64,1
203,-3.7,-7.2,77,7,24.1,101.54,1
204,-2.5,-6.6,73,9,24.1,101.4,0
205,-1.7,-5.8,74,7,24.1,101.27,0
206,-1.4,-5.1,76,7,24.1,101.2,0
207,-1.0,-5.1,74,9,24.1,101.13,0
208,-1.3,-5.7,72,11,24.1,101.05,0
209,-1.4,-5.8,72,15,24.1,100.96,0
210,-1.0,-5.6,71,20,25.0,100.9,0
211,-1.1,-5.8,70,19,25.0,100.83,0
212,-1.5,-6.2,70,15,25.0,100.77,0
213,-1.7,-6.3,71,11,25.0,100.64,0
214,-0.3,-6.3,64,19,25.0,100.54,0
215,-0.2,-6.1,64,17,25.0,100.45,0
216,2.5,-5.2,57,30,25.0,100.38,0
217,2.3,-3.4,66,35,25.0,100.28,1
218,1.4,-2.5,75,19,6.4,100.23,1
219,1.6,-2.0,77,28,25.0,100.16,1
220,1.2,-1.7,81,26,25.0,100.07,0
221,0.8,-1.2,86,30,9.7,100.02,1
222,0.7,-1.2,87,30,8.0,100.04,1
223,1.5,-0.7,85,20,8.0,100.08,1
224,1.2,-1.1,85,24,16.1,100.11,0
225,1.6,-0.8,84,17,19.3,100.23,0
226,2.0,-0.9,81,24,24.1,100.27,0
227,2.6,-1.1,77,22,24.1,100.29,0
228,1.4,-3.1,72,30,24.1,100.32,0
229,0.7,-5.4,64,26,24.1,100.36,0
230,-0.2,-6.2,64,26,24.1,100.45,0
231,-1.4,-7.9,61,30,24.1,100.65,0
232,-3.1,-10.9,55,30,24.1,100.81,0
233,-4.0,-12.0,54,17,24.1,100.91,0
234,-4.9,-12.7,54,15,25.0,101.04,0
235,-5.7,-13.8,53,15,25.0,101.15,0
236,-6.4,-14.3,53,13,25.0,101.24,0
237,-6.6,-13.6,57,9,25.0,101.32,0
238,-7.3,-14.7,55,13,25.0,101.34,0
239,-8.6,-15.6,57,19,25.0,101.44,0
240,-9.5,-16.8,55,17,25.0,101.43,0
241,-10.7,-17.8,56,17,25.0,101.49,0
242,-12.0,-18.9,56,19,25.0,101.57,0
243,-12.7,-19.4,57,19,25.0,101.64,0
244,-13.4,-20.1,57,17,25.0,101.66,0
245,-13.9,-21.0,55,19,25.0,101.66,0
246,-14.4,-21.1,57,20,25.0,101.72,0
247,-14.4,-21.0,57,13,25.0,101.77,0
248,-14.7,-21.4,57,15,24.1,101.8,0
249,-14.3,-20.8,58,15,24.1,101.81,0
250,-13.9,-20.9,55,11,19.3,101.89,0
251,-13.4,-20.8,54,15,24.1,101.78,0
252,-12.7,-20.4,53,17,24.1,101.68,0
253,-12.2,-20.0,52,19,24.1,101.63,0
254,-11.4,-19.4,52,20,24.1,101.56,0
255,-11.6,-19.9,50,20,24.1,101.61,0
256,-11.8,-20.9,47,20,24.1,101.6,0
257,-11.9,-20.1,51,26,24.1,101.56,0
258,-12.0,-19.9,52,24,25.0,101.51,0
259,-11.8,-19.2,54,30,25.0,101.43,0
260,-11.2,-18.1,57,24,25.0,101.4,0
261,-11.2,-16.5,65,19,25.0,101.32,0
262,-10.8,-16.0,65,22,25.0,101.29,0
263,-10.7,-15.7,67,20,25.0,101.19,0
264,-10.0,-15.2,66,19,25.0,101.17,0
265,-9.8,-15.2,65,24,25.0,101.13,0
266,-9.4,-15.0,64,26,25.0,101.08,0
267,-9.0,-14.7,63,33,25.0,101.02,0
268,-8.5,-14.1,64,22,25.0,100.93,0
269,-8.0,-13.7,64,30,25.0,100.81,0
270,-7.6,-13.1,65,28,25.0,100.76,0
271,-7.3,-12.7,65,28,16.1,100.69,1
272,-7.1,-11.3,72,33,6.4,100.61,1
273,-6.8,-10.5,75,33,3.2,100.54,1
274,-6.2,-9.6,77,35,4.8,100.46,1
275,-6.0,-9.5,76,32,2.0,100.35,1
276,-5.8,-8.9,79,32,4.8,100.22,1
277,-5.8,-8.6,81,33,1.2,100.09,1
278,-5.7,-8.5,81,28,1.2,99.97,1
279,-5.2,-7.6,83,26,0.8,99.9,1
280,-4.9,-7.3,83,33,0.6,99.88,1
281,-5.1,-7.6,83,33,1.0,99.83,1
282,-5.4,-8.1,81,35,1.2,99.76,1
283,-5.0,-7.6,82,30,4.0,99.72,1
284,-5.0,-7.8,81,28,6.4,99.64,1
285,-4.7,-7.6,80,24,6.4,99.56,1
286,-4.1,-6.8,81,26,25.0,99.47,1
287,-4.6,-7.0,83,28,3.2,99.4,1
288,-5.1,-7.5,83,28,2.4,99.3,1
289,-5.0,-7.7,81,24,4.8,99.24,1
290,-4.8,-7.5,81,22,25.0,99.22,1
291,-4.5,-6.9,83,19,4.8,99.19,1
292,-5.0,-7.4,83,24,11.3,99.13,0
293,-5.1,-7.7,82,20,12.9,99.06,0
294,-5.4,-7.8,83,22,16.1,98.94,0
295,-5.1,-7.7,82,22,16.1,98.84,0
296,-5.1,-7.5,83,26,8.0,98.69,1
297,-5.0,-7.3,84,32,4.8,98.56,1
298,-4.8,-7.2,83,26,12.9,98.44,1
299,-4.8,-7.3,83,28,9.7,98.22,1
300,-4.8,-7.5,81,24,2.0,98.07,1
301,-4.9,-7.3,83,20,1.2,97.99,1
302,-4.8,-7.0,85,6,2.0,98.07,1
303,-4.3,-6.5,85,13,8.0,98.1,1
304,-3.7,-6.0,84,11,6.4,98.16,1
305,-2.9,-4.8,87,15,1.6,98.23,1
306,-1.7,-3.3,89,26,16.1,98.32,1
307,-2.5,-4.5,86,33,2.0,98.6,1
308,-3.2,-5.1,87,32,2.0,98.89,1
309,-4.8,-7.9,79,37,4.8,99.09,1
310,-5.5,-10.1,70,32,12.9,99.28,1
311,-7.6,-11.2,75,35,9.7,99.51,1
312,-8.9,-13.1,72,39,9.7,99.67,1
313,-9.7,-14.3,69,24,12.9,99.85,1
314,-11.2,-15.5,70,28,9.7,100.01,1
315,-12.0,-16.2,71,24,8.0,100.16,1
316,-13.4,-18.9,63,20,16.1,100.26,1
317,-14.3,-19.8,63,24,25.0,100.39,0
318,-15.2,-20.6,63,24,25.0,100.6,0
319,-16.8,-22.2,63,26,25.0,100.73,0
320,-17.9,-23.5,62,20,24.1,100.84,0
321,-18.0,-23.6,61,19,24.1,100.97,0
322,-18.0,-23.9,60,22,24.1,101.08,0
323,-17.8,-23.9,59,20,24.1,101.14,0
324,-17.5,-23.8,58,20,48.3,101.16,0
325,-17.1,-24.1,55,17,48.3,101.18,0
326,-16.7,-23.4,56,17,48.3,101.2,0
327,-16.7,-23.4,56,22,48.3,101.24,0
328,-16.7,-24.3,52,19,24.1,101.3,0
329,-17.4,-24.4,54,13,25.0,101.36,0
330,-17.7,-24.3,56,20,25.0,101.46,0
331,-18.3,-24.4,59,17,25.0,101.56,0
332,-19.6,-25.8,58,13,25.0,101.62,0
333,-20.0,-25.9,59,11,25.0,101.65,0
334,-19.9,-26.0,58,13,25.0,101.74,0
335,-20.3,-26.2,59,9,25.0,101.79,0
336,-21.2,-26.8,61,11,25.0,101.81,0
337,-21.1,-26.6,61,9,25.0,101.86,0
338,-21.4,-26.6,63,9,25.0,101.99,0
339,-20.7,-26.1,62,4,25.0,102.04,0
340,-21.0,-26.6,61,0,25.0,102.12,0
341,-21.3,-26.5,63,6,25.0,102.19,0
342,-23.2,-28.5,62,7,25.0,102.28,0
343,-22.8,-28.0,62,9,25.0,102.37,0
344,-23.3,-28.5,62,7,24.1,102.45,0
345,-22.2,-27.8,60,9,48.3,102.57,0
346,-20.6,-26.8,58,9,48.3,102.66,0
347,-19.3,-26.1,55,9,48.3,102.68,0
348,-18.0,-25.5,52,13,48.3,102.67,0
349,-16.8,-24.2,53,20,48.3,102.65,0
350,-16.0,-23.4,53,26,48.3,102.66,0
351,-15.4,-22.8,53,24,48.3,102.71,0
352,-15.1,-22.8,52,24,48.3,102.79,0
353,-16.2,-23.2,55,15,25.0,102.85,0
354,-16.3,-22.9,57,17,25.0,102.89,0
355,-16.3,-22.7,58,20,25.0,102.94,0
356,-16.7,-22.4,61,17,25.0,102.98,0
357,-16.9,-22.2,63,15,25.0,103.02,0
358,-16.9,-21.7,66,17,25.0,103.07,0
359,-16.9,-21.4,68,15,25.0,103.09,0
360,-17.1,-21.9,66,15,25.0,103.09,0
361,-17.8,-22.7,65,6,25.0,103.05,0
362,-18.5,-23.0,68,6,25.0,103.08,0
363,-19.2,-23.8,67,6,25.0,103.07,0
364,-18.7,-23.5,66,0,25.0,103.05,0
365,-19.1,-23.3,69,0,25.0,103.02,0
366,-18.7,-23.2,68,0,25.0,103.01,0
367,-17.9,-21.5,73,4,48.3,102.96,0
368,-17.9,-22.6,67,9,48.3,102.9,0
369,-14.4,-20.7,59,22,48.3,102.75,0
370,-13.6,-18.7,65,19,48.3,102.62,0
371,-12.7,-17.7,66,20,48.3,102.44,0
372,-10.7,-16.9,60,19,48.3,102.17,0
373,-10.1,-16.1,61,13,48.3,101.92,0
374,-9.0,-13.8,68,13,48.3,101.71,0
375,-8.0,-13.8,63,17,48.3,101.49,0
376,-7.1,-14.1,57,9,48.3,101.41,0
377,-7.6,-14.8,56,4,25.0,101.34,0
378,-12.5,-17.5,66,15,25.0,101.31,0
379,-14.8,-19.1,70,15,25.0,101.23,0
380,-14.0,-18.3,70,13,25.0,101.19,0
381,-12.9,-17.1,71,11,25.0,101.12,0
382,-12.2,-16.5,70,9,25.0,101.05,0
383,-11.5,-15.7,71,7,25.0,100.98,0
384,-10.8,-15.0,71,9,25.0,100.94,0
385,-10.4,-14.6,71,9,25.0,100.88,0
386,-9.7,-13.7,73,9,25.0,100.84,0
387,-9.2,-13.2,73,6,25.0,100.84,0
388,-9.0,-12.2,78,6,6.4,100.8,1
389,-8.3,-10.4,85,6,3.6,100.75,1
390,-7.7,-9.9,84,6,2.4,100.72,1
391,-7.5,-9.6,85,9,2.0,100.69,1
392,-7.4,-9.6,84,9,2.4,100.65,1
393,-7.0,-9.5,82,15,4.0,100.59,1
394,-6.5,-9.0,82,15,1.2,100.6,1
395,-6.1,-8.5,83,15,2.4,100.53,1
396,-5.3,-7.9,82,19,2.8,100.38,1
397,-5.1,-7.7,82,22,2.4,100.23,1
398,-4.3,-6.5,85,22,1.6,100.05,1
399,-3.7,-6.0,84,24,1.2,99.9,1
400,-3.5,-6.0,83,28,1.2,99.69,1
401,-3.6,-5.9,84,22,1.6,99.57,1
402,-3.5,-5.8,84,22,2.4,99.38,1
403,-3.3,-5.6,84,24,4.8,99.22,1
404,-3.6,-5.7,85,24,3.2,98.98,1
405,-2.9,-4.9,86,26,2.8,98.71,1
406,-1.6,-3.2,89,17,3.2,98.47,1
407,-0.6,-2.1,90,7,2.8,98.32,1
408,2.1,0.7,90,11,8.0,98.31,0
409,3.7,-2.1,66,83,25.0,98.36,0
410,0.5,-4.0,72,70,25.0,98.62,0
411,-3.5,-8.2,70,57,25.0,99.0,0
412,-6.1,-10.9,69,48,25.0,99.36,1
413,-7.7,-12.4,69,46,19.3,99.7,1
414,-8.5,-13.9,65,39,19.3,100.0,0
415,-9.8,-15.4,64,39,19.3,100.22,0
416,-10.9,-16.6,63,35,24.1,100.43,0
417,-11.2,-17.2,61,43,24.1,100.65,0
418,-11.2,-17.2,61,35,24.1,100.78,0
419,-11.1,-17.7,58,39,24.1,100.92,0
420,-11.0,-17.8,57,37,24.1,101.0,0
421,-10.6,-17.8,55,32,24.1,101.09,0
422,-10.3,-17.6,55,28,48.3,101.19,0
423,-10.4,-18.0,54,30,48.3,101.32,0
424,-10.6,-18.4,53,26,48.3,101.45,0
425,-11.3,-18.8,54,26,48.3,101.54,0
426,-12.0,-18.2,60,22,25.0,101.67,0
427,-12.7,-18.7,61,22,25.0,101.78,0
428,-13.4,-19.2,62,17,25.0,101.83,0
429,-13.7,-19.3,63,17,25.0,101.89,0
430,-14.2,-19.8,62,13,25.0,101.92,0
431,-14.9,-19.9,66,6,25.0,101.93,0
432,-16.6,-20.9,69,7,25.0,101.94,0
433,-15.2,-18.4,76,4,25.0,101.89,0
434,-14.3,-17.4,77,6,25.0,101.86,0
435,-18.0,-21.6,73,6,25.0,101.83,0
436,-15.4,-18.3,78,7,25.0,101.81,0
437,-16.6,-19.9,76,6,25.0,101.85,0
438,-15.3,-19.7,69,6,25.0,101.83,0
439,-14.6,-19.2,68,6,24.1,101.84,0
440,-13.7,-18.4,68,19,48.3,101.84,0
441,-12.7,-17.2,69,17,48.3,101.73,0
442,-11.7,-17.2,64,20,48.3,101.68,0
443,-11.0,-16.9,62,26,48.3,101.56,0
444,-8.8,-15.4,59,15,48.3,101.42,0
445,-7.3,-14.7,55,20,48.3,101.22,0
446,-7.0,-14.9,53,20,48.3,101.03,0
447,-6.7,-15.0,52,26,48.3,100.88,0
448,-6.7,-14.9,52,24,24.1,100.76,0
449,-6.9,-14.7,54,17,24.1,100.7,0
450,-5.0,-12.9,54,19,25.0,100.66,0
451,-3.6,-12.7,49,30,25.0,100.61,1
452,-3.7,-11.9,53,30,16.1,100.63,1
453,-5.0,-8.4,77,24,2.0,100.6,1
454,-4.2,-9.3,68,32,25.0,100.51,1
455,-4.1,-8.9,69,26,25.0,100.47,1
456,-4.1,-8.6,71,26,25.0,100.5,0
457,-4.1,-8.3,73,20,25.0,100.54,1
458,-3.9,-8.1,73,22,9.7,100.64,1
459,-4.8,-9.9,67,19,25.0,100.75,0
460,-6.0,-10.2,72,19,16.1,100.87,1
461,-6.3,-12.2,63,33,25.0,100.98,1
462,-7.6,-14.3,59,28,25.0,101.13,0
463,-8.6,-15.6,57,28,25.0,101.27,0
464,-10.4,-16.2,62,33,24.1,101.47,0
465,-12.2,-18.1,61,32,24.1,101.59,0
466,-13.7,-20.3,57,33,24.1,101.72,0
467,-14.2,-21.2,55,32,24.1,101.84,0
468,-15.2,-22.1,56,30,24.1,101.88,0
469,-15.8,-23.7,51,30,24.1,101.96,0
470,-15.5,-24.1,48,30,48.3,101.98,0
471,-15.0,-23.9,47,30,48.3,102.09,0
472,-14.8,-24.1,45,24,48.3,102.15,0
473,-15.4,-24.3,46,17,48.3,102.21,0
474,-15.9,-24.3,48,13,25.0,102.27,0
475,-16.3,-24.2,51,13,25.0,102.33,0
476,-16.9,-24.8,50,9,25.0,102.34,0
477,-18.5,-25.6,54,9,25.0,102.37,0
478,-18.1,-25.1,54,9,25.0,102.36,0
479,-17.4,-24.5,54,6,25.0,102.37,0
480,-16.4,-23.7,53,6,25.0,102.29,0
481,-16.1,-23.6,52,0,25.0,102.26,0
482,-15.3,-22.8,53,0,25.0,102.27,0
483,-15.9,-21.9,60,7,25.0,102.23,0
484,-15.3,-21.8,58,7,25.0,102.18,0
485,-14.8,-22.9,50,11,25.0,102.08,0
486,-14.3,-22.0,52,9,25.0,101.98,0
487,-13.9,-22.1,50,9,25.0,102.04,0
488,-14.0,-21.8,52,9,25.0,102.06,0
489,-15.9,-21.0,65,13,24.1,102.11,1
490,-16.3,-21.4,65,17,24.1,102.12,1
491,-15.9,-21.2,64,19,24.1,102.09,1
492,-14.6,-20.3,62,15,24.1,102.03,0
493,-13.4,-19.8,59,15,24.1,102.01,0
494,-12.5,-19.7,55,13,24.1,102.01,0
495,-11.8,-18.9,56,11,24.1,102.06,0
496,-11.6,-18.8,55,7,48.3,102.11,0
497,-12.1,-19.8,53,11,48.3,102.16,0
498,-13.0,-20.2,55,6,25.0,102.24,0
499,-13.4,-19.9,58,4,25.0,102.27,0
500,-18.5,-24.4,60,4,25.0,102.36,0
501,-16.0,-20.8,66,9,25.0,102.47,0
502,-17.6,-23.3,61,0,25.0,102.52,0
503,-17.4,-21.7,69,0,25.0,102.54,0
504,-18.3,-22.5,70,0,25.0,102.57,0
505,-17.5,-21.3,72,4,25.0,102.64,0
506,-18.5,-22.6,70,0,25.0,102.71,0
507,-18.4,-23.0,67,0,16.1,102.75,0
508,-17.2,-21.5,69,0,25.0,102.79,0
509,-19.5,-23.4,71,6,16.1,102.84,0
510,-19.0,-22.9,71,6,0.8,102.85,1
511,-18.6,-22.8,69,6,12.9,102.91,0
512,-18.5,-22.0,74,4,24.1,102.98,0
513,-16.2,-19.2,78,7,48.3,103.01,0
514,-14.5,-17.2,80,9,8.0,103.02,0
515,-13.0,-15.5,81,6,8.0,103.04,0
516,-11.5,-15.4,73,9,8.0,102.97,0
517,-11.2,-16.0,68,11,8.0,102.86,0
518,-9.4,-14.8,65,9,16.1,102.74,0
519,-8.7,-14.5,63,9,16.1,102.65,0
520,-8.0,-14.7,59,6,19.3,102.6,0
521,-9.5,-15.8,60,19,19.3,102.57,0
522,-10.4,-16.1,63,19,19.3,102.52,0
523,-10.4,-16.2,62,19,19.3,102.47,0
524,-12.3,-16.8,69,15,19.3,102.44,0
525,-12.9,-17.2,70,15,16.1,102.38,0
526,-13.2,-17.0,73,13,16.1,102.33,0
527,-13.3,-17.1,73,9,16.1,102.28,0
528,-12.9,-17.0,71,11,25.0,102.22,0
529,-12.9,-17.2,70,11,25.0,102.14,0
530,-13.2,-17.1,72,13,25.0,102.1,0
531,-12.1,-16.0,73,13,25.0,101.99,0
532,-11.2,-15.2,72,11,25.0,101.88,0
533,-9.9,-13.9,73,11,25.0,101.79,0
534,-8.8,-12.8,73,7,25.0,101.76,0
535,-8.1,-12.1,73,13,25.0,101.67,0
