,id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
6994,3781916,(2017 SU17),0.006676594,0.014929318,45497.11084,22068640.07,Earth,False,28.0,False
82588,3989253,(2020 BD11),0.036690614,0.082042707,23001.00025,25807797.38,Earth,False,24.3,False
71864,3750663,(2016 GN134),0.002424125,0.005420508,50054.23348,57213.21171,Earth,False,30.2,False
60644,3355845,(2006 UQ216),0.009216266,0.020608196,43810.69928,41880781.46,Earth,False,27.3,False
1860,3759008,(2016 RL17),0.013321557,0.029787906,60432.04222,40981446.36,Earth,False,26.5,False
2828,3835962,(2018 VB1),0.048367649,0.108153351,42260.81118,13722521.23,Earth,False,23.7,False
24292,3599478,(2012 CA53),0.019255508,0.043056624,30309.40584,69967164.46,Earth,False,25.7,False
52458,3799279,(2018 CE2),0.211132445,0.472106499,35149.30527,43470465.84,Earth,False,20.5,False
19163,3369849,(2007 DB56),0.384197891,0.859092601,14153.94529,65428487.95,Earth,False,19.2,False
1190,2173664,173664 (2001 JU2),0.308003021,0.688715693,13541.75537,63064241.68,Earth,False,19.68,False
76447,3989175,(2020 BW7),0.011602591,0.025944182,15555.57479,8051041.891,Earth,False,26.8,False
9004,3554439,(2010 YO),0.031956189,0.07145621,97652.93164,64858974.48,Earth,False,24.6,False
24485,3656919,(2014 BG3),0.160160338,0.358129403,69496.00084,33255735.13,Earth,False,21.1,False
24175,3827333,(2018 RN2),0.031956189,0.07145621,33742.74276,41840610.76,Earth,False,24.6,False
58127,54146672,(2021 KQ),0.016389095,0.036647131,83024.43311,59416822.14,Earth,False,26.05,False
61303,3653969,(2013 WR45),0.019255508,0.043056624,21827.70537,6682546.711,Earth,False,25.7,False
72604,3842953,(2019 MV1),0.22108281,0.494356193,74594.42304,20809604.15,Earth,False,20.4,False
34248,3558376,(2011 EM11),0.031956189,0.07145621,23553.94223,10016562.33,Earth,False,24.6,False
87614,3550888,(2010 VL65),0.003806755,0.008512164,14793.60077,1596171.873,Earth,False,29.22,False
59676,54202333,(2021 TE1),0.034399726,0.076920125,38601.84235,61328026.82,Earth,False,24.44,False
75895,3755188,(2016 NF22),0.231502122,0.517654482,62197.25618,27328965.8,Earth,False,20.3,False
70986,3727640,(2015 SA),0.023150212,0.051765448,34903.23826,43437751.72,Earth,False,25.3,False
88170,54228817,(2021 XY3),0.012205483,0.02729229,59883.8546,1987934.078,Earth,False,26.69,False
30673,2285339,285339 (1999 JR6),0.661538275,1.479244553,118599.5135,62318908.94,Earth,False,18.02,False
33003,3841634,(2019 HW3),0.02658,0.059434687,31206.52016,17231318.7,Earth,False,25.0,False
64442,54196402,(2021 RN14),0.011029479,0.024662664,67430.76745,33596734.06,Earth,False,26.91,False
62089,54217198,(2021 VX4),0.007187121,0.016070892,30070.02763,74225336.67,Earth,False,27.84,False
20398,3778542,(2017 OE7),0.015295194,0.034201093,46066.08862,40650971.49,Earth,False,26.2,False
44563,54144105,(2021 JK2),0.029549829,0.066075427,38106.94871,50345592.95,Earth,False,24.77,False
48081,3759756,(2016 SR2),0.015295194,0.034201093,20915.07645,40748042.33,Earth,False,26.2,False
16944,2288592,288592 (2004 JW20),0.185590173,0.414992243,50584.14089,74100167.01,Earth,False,20.78,False
9003,3172313,(2004 AD1),0.08405334,0.187948982,44500.39092,5943272.604,Earth,False,22.5,False
53434,3283184,(2005 LA37),0.22108281,0.494356193,66358.69419,48003192.38,Earth,False,20.4,False
28589,3768616,(2017 CO1),0.055533491,0.124176661,37528.8922,41004875.07,Earth,False,23.4,False
73700,3989249,(2020 BY10),0.007665756,0.017141151,10457.53777,50364736.5,Earth,False,27.7,False
82882,54110051,(2021 CO),0.02446555,0.054706632,41649.44407,362012.2147,Earth,False,25.18,False
41786,3736815,(2015 XZ378),0.009650615,0.021579431,46567.28486,59150782.71,Earth,False,27.2,False
78903,3600234,(2012 DT60),0.101054342,0.225964377,16159.48411,47062798.54,Earth,False,22.1,False
55692,3092521,(2001 WO15),0.080270317,0.179489885,35362.23632,5927911.162,Earth,False,22.6,False
34295,54248451,(2022 DV1),0.027324673,0.061099827,27722.63025,8716635.801,Earth,False,24.94,False
36047,3578982,(2011 SP32),0.050647146,0.113250461,51108.63516,8317764.541,Earth,False,23.6,False
70992,3740939,(2016 BG15),0.010581689,0.023661375,30484.93533,6348499.171,Earth,False,27.0,False
18882,3365954,(2007 AF2),0.133215567,0.297879063,38061.37987,15560409.84,Earth,False,21.5,False
12560,2164341,164341 (2005 CO),0.211132445,0.472106499,24109.57343,39910025.82,Earth,False,20.5,False
80070,54130494,(2021 EU1),0.03685997,0.082421398,52900.47328,68838178.5,Earth,False,24.29,False
8539,3879536,(2019 UQ4),0.006676594,0.014929318,39348.44262,40883010.64,Earth,False,28.0,False
51296,3776279,(2017 MT8),0.060891262,0.136157002,22572.469,8499434.863,Earth,False,23.2,False
61091,3653811,(2013 WL),0.038419789,0.08590926,23961.92646,19284591.87,Earth,False,24.2,False
7408,54132116,(2021 FK1),0.010246015,0.022910786,39840.98589,14908879.68,Earth,False,27.07,False
54168,3752723,(2016 JN),0.055533491,0.124176661,20149.2845,16414395.41,Earth,False,23.4,False
26573,3451021,(2009 EH3),0.038419789,0.08590926,56723.58055,2271130.416,Earth,False,24.2,False
65211,3694124,(2014 US34),0.024241248,0.054205079,38479.46898,8230087.474,Earth,False,25.2,False
84162,2153195,153195 (2000 WB1),0.852226387,1.905636132,89961.27817,54958829.79,Earth,False,17.47,False
67752,3825582,(2018 NQ1),0.025383703,0.056759685,19790.6053,58612864.09,Earth,False,25.1,False
8646,3475240,(2009 VB1),0.050647146,0.113250461,59228.99967,26709101.89,Earth,False,23.6,False
49232,3759755,(2016 SP2),0.040230458,0.089958039,26036.56973,26315751.26,Earth,False,24.1,False
37874,3388395,(2007 TR68),0.017561232,0.039268108,44083.59051,53184779.45,Earth,False,25.9,False
49887,3462504,(2009 LD),0.015295194,0.034201093,55226.62829,52370049.69,Earth,False,26.2,False
86744,2481790,481790 (2008 TF4),0.365220357,0.816657545,44428.43276,63768838.33,Earth,False,19.31,False
42999,3733849,(2015 VL64),0.00581507,0.013002893,45682.15833,55126019.04,Earth,False,28.3,False
74111,3655977,(2014 AT51),0.096506147,0.215794305,52732.43627,46836278.83,Earth,False,22.2,False
29760,3392302,(2007 VD3),0.096506147,0.215794305,38775.71368,42891064.54,Earth,False,22.2,False
65262,3670139,(2014 HM178),0.608912622,1.361570015,73994.57213,44083446.58,Earth,False,18.2,False
11819,54228655,(2021 XP3),0.019167037,0.042858797,39677.20856,4064682.257,Earth,False,25.71,False
5745,3721908,(2015 MB54),0.041167546,0.092053431,25558.43694,69747306.81,Earth,False,24.05,False
39520,3836911,(2018 XA5),0.050647146,0.113250461,46411.75165,20225502.04,Earth,False,23.6,False
16350,3467084,(2009 RU1),0.038419789,0.08590926,53672.81178,22970764.94,Earth,False,24.2,False
37710,3293790,(2005 TQ45),0.020162992,0.045085821,54739.28305,63064774.86,Earth,False,25.6,False
13897,3606221,(2012 NO),0.253837029,0.567596853,75063.8942,53239438.92,Earth,False,20.1,False
65139,3695411,(2014 UD176),0.029144391,0.065168838,50164.16542,1512623.827,Earth,False,24.8,False
45413,3765700,(2016 XB18),0.105816886,0.23661375,46757.90494,28504254.16,Earth,False,22.0,False
61850,3555914,(2011 BO40),0.060891262,0.136157002,37917.71208,45222004.12,Earth,False,23.2,False
55300,54244180,(2022 BU6),0.017161489,0.038374257,88540.15576,68037976.68,Earth,False,25.95,False
53864,3733138,(2015 VK1),0.012721988,0.02844723,58543.39703,68647947.95,Earth,False,26.6,False
19032,2585734,585734 (2019 BA1),0.096506147,0.215794305,65336.65351,32961839.5,Earth,False,22.2,False
10958,3758847,(2016 RZ),0.012149404,0.027166893,41091.89562,32641430.32,Earth,False,26.7,False
72197,3733130,(2015 VB1),0.050647146,0.113250461,44915.92678,23696451.2,Earth,False,23.6,False
50525,3763945,(2016 WU),0.009216266,0.020608196,59606.19293,51296617.06,Earth,False,27.3,False
64115,3680268,(2014 OV391),0.074568426,0.16674007,24495.7581,42878801.01,Earth,False,22.76,False
84466,3662200,(2014 DH),0.012721988,0.02844723,30879.63385,46248676.14,Earth,False,26.6,False
63000,3694985,(2014 UT116),0.146067964,0.326617897,58382.12635,54696180.08,Earth,False,21.3,False
13208,54130762,(2021 EP2),0.040978398,0.091630484,17088.83315,20929976.87,Earth,False,24.06,False
10345,3335046,(2006 KK89),0.08405334,0.187948982,59628.75425,53856218.14,Earth,False,22.5,False
58444,3746629,(2016 EN156),0.00732074,0.016369672,21773.56564,12387649.08,Earth,False,27.8,False
54132,3838138,(2019 CC2),0.014606796,0.03266179,12749.09937,27151635.85,Earth,False,26.3,False
37034,3627059,(2013 DF),0.031956189,0.07145621,75603.00972,38518168.88,Earth,False,24.6,False
41296,3619157,(2012 XA),0.029144391,0.065168838,16867.00259,5593902.442,Earth,False,24.8,False
7943,3550466,(2010 VZ11),0.020162992,0.045085821,13838.40325,14777126.41,Earth,False,25.6,False
42214,3329608,(2006 GX2),0.201629919,0.450858206,45194.9877,14831927.85,Earth,False,20.6,False
76534,3991579,(2020 CJ2),0.009650615,0.021579431,27154.50146,1671667.426,Earth,False,27.2,False
57962,54050955,(2019 KD7),0.121494041,0.271668934,39902.67867,61305609.1,Earth,False,21.7,False
26002,3398066,(2007 XB23),0.010105434,0.022596438,45673.51996,58937008.53,Earth,False,27.1,False
70795,3972419,(2020 AT),0.024241248,0.054205079,86595.37823,74261914.16,Earth,False,25.2,False
90168,54268812,(2022 GD1),0.027074159,0.06053966,24145.04435,11367176.68,Earth,False,24.96,False
63535,3673976,(2014 MZ17),0.040230458,0.089958039,15404.64103,10360545.75,Earth,False,24.1,False
44145,2065674,65674 (1988 SM),0.589596608,1.318378096,20298.13208,66512848.87,Earth,False,18.27,False
33110,3769817,(2017 DU34),0.011602591,0.025944182,27055.85094,72468218.66,Earth,False,26.8,False
46295,3769707,(2017 DV15),0.024241248,0.054205079,24932.85256,3366974.487,Earth,False,25.2,False
6321,2334673,334673 (2003 AL18),0.702352248,1.57050737,43663.15858,20331199.35,Earth,False,17.89,False
14782,3297364,(2005 UA6),0.058150704,0.130028927,45299.41598,3309823.358,Earth,False,23.3,False
82806,3485263,(2010 AJ30),0.076657557,0.171411509,31053.80731,8313305.134,Earth,False,22.7,False
69662,3799648,(2018 CG14),0.040230458,0.089958039,13728.18569,60001719.52,Earth,False,24.1,False
74005,54202991,(2021 TT1),0.015016025,0.033576852,82235.37973,31067864.36,Earth,False,26.24,False
85901,3092114,(1993 DA),0.013949382,0.031191767,29089.2877,24231331.88,Earth,False,26.4,False
32529,3724948,(2015 PD),0.384197891,0.859092601,58482.05956,46473299.92,Earth,False,19.2,False
54553,3782064,(2017 SK21),0.092162655,0.206081961,84544.26178,13972446.97,Earth,False,22.3,False
15149,3789662,(2017 WJ14),0.035039264,0.078350176,64097.89355,65124965.73,Earth,False,24.4,False
53291,3766069,(2016 YR),0.009650615,0.021579431,19459.1217,17621012.32,Earth,False,27.2,False
62838,3835971,(2018 VM1),0.021113245,0.04721065,92081.8848,63385774.87,Earth,False,25.5,False
27842,3150194,(2003 DZ15),0.092162655,0.206081961,80957.32541,39385075.69,Earth,False,22.3,False
80250,54075584,(2020 TW8),0.009216266,0.020608196,6568.192218,9724156.138,Earth,False,27.3,False
3218,3766676,(2017 BO3),0.152951935,0.342010925,61911.74352,20525263.12,Earth,False,21.2,False
30992,3541503,(2010 OD101),0.192555078,0.430566244,40021.96116,43031228.79,Earth,False,20.7,False
69759,3788123,(2017 UH8),0.038419789,0.08590926,29812.86558,33118826.3,Earth,False,24.2,False
69264,3781897,(2017 SL16),0.01740023,0.038908096,19013.90342,11657139.45,Earth,False,25.92,False
40522,3609844,(2012 TQ20),0.010105434,0.022596438,29565.67574,4161131.25,Earth,False,27.1,False
16889,3329985,(2006 FD51),0.455569852,1.018685158,35389.49072,25519131.58,Earth,False,18.83,False
60231,3765703,(2016 XG18),0.334622375,0.748238376,49977.40644,54838468.07,Earth,False,19.5,False
1898,2497232,497232 (2005 EF),0.194336768,0.434550225,51337.0296,42207428.21,Earth,False,20.68,False
74489,3888733,(2019 UR11),0.170826395,0.381979432,43088.5382,30131152.18,Earth,False,20.96,False
64498,3370278,(2007 EK),0.003669061,0.008204271,65318.75048,49708575.9,Earth,False,29.3,False
26260,3702321,(2014 YF),0.086408204,0.193214617,57115.01323,54015808.98,Earth,False,22.44,False
43444,3748519,(2016 FW14),0.183888672,0.411187571,42138.94947,30519856.23,Earth,False,20.8,False
51647,3799314,(2018 CG3),0.018388867,0.041118757,21537.31573,7813618.987,Earth,False,25.8,False
43710,3757197,(2016 PS26),0.022108281,0.049435619,41841.2677,5297127.195,Earth,False,25.4,False
7476,54017455,(2020 ME),0.050647146,0.113250461,33725.41175,8228543.04,Earth,False,23.6,False
42680,54209314,(2021 TB15),0.05182687,0.115888403,73326.64255,55112737.35,Earth,False,23.55,False
11103,3824091,(2018 JF2),0.040230458,0.089958039,44052.63552,63313873.9,Earth,False,24.1,False
50912,3796283,(2017 YK8),0.069912523,0.156329154,36131.16423,45753131.84,Earth,False,22.9,False
70006,3734470,(2015 VD105),0.030517923,0.068240151,45873.26355,2776098.445,Earth,False,24.7,False
28222,3843607,(2019 QV1),0.030517923,0.068240151,50124.89633,27187922.19,Earth,False,24.7,False
39741,3558380,(2011 EB12),0.146067964,0.326617897,70490.28511,47521888.31,Earth,False,21.3,False
83804,3602620,(2012 HK),0.053034072,0.118587791,36037.19628,14501296.08,Earth,False,23.5,False
72744,3790132,(2017 XF),0.048367649,0.108153351,47678.27991,22949037.7,Earth,False,23.7,False
11952,3092280,(2000 XF44),0.146067964,0.326617897,57358.73138,61007536.97,Earth,False,21.3,False
38702,3713284,(2015 EL7),0.076657557,0.171411509,40677.41184,24333646.44,Earth,False,22.7,False
61694,3767933,(2017 BU93),0.063760979,0.142573883,85572.09394,54301562.41,Earth,False,23.1,False
74905,54136198,(2021 GK6),0.04411182,0.098637028,70100.30661,44857249.72,Earth,False,23.9,False
84913,54156748,(2021 LG2),0.1034082,0.231227764,41811.60109,10432485.24,Earth,False,22.05,False
69310,3869336,(2019 SF6),0.015154966,0.033887535,30666.10268,7039474.543,Earth,False,26.22,False
70766,3739076,(2015 YP10),0.253837029,0.567596853,48231.0728,34862750.73,Earth,False,20.1,False
34842,3774433,(2017 JB),0.053034072,0.118587791,37627.53846,54357198.89,Earth,False,23.5,False
7222,3154490,(2003 JN14),0.316632126,0.708010957,67483.23011,24158437.64,Earth,False,19.62,False
17094,3843225,(2019 NQ5),0.025383703,0.056759685,81467.65467,65928322.25,Earth,False,25.1,False
84426,3785787,(2017 TC5),0.015295194,0.034201093,50070.40533,32824145.79,Earth,False,26.2,False
47988,3735682,(2015 XZ1),0.02658,0.059434687,75902.71296,70919840.18,Earth,False,25.0,False
36980,3620672,(2012 XB112),0.002783268,0.006223576,44272.3332,41001979.73,Earth,False,29.9,False
27309,3337025,(2006 MY1),0.096506147,0.215794305,30938.48002,48547734.53,Earth,False,22.2,False
41543,54268448,(2022 GQ),0.002210828,0.004943562,26550.70876,13654739.81,Earth,False,30.4,False
38734,3608784,(2012 SK8),0.211132445,0.472106499,47920.0547,55783870.5,Earth,False,20.5,False
70823,3739265,(2016 AV9),0.024241248,0.054205079,34672.85257,9610681.741,Earth,False,25.2,False
66320,3742056,(2016 CD31),0.011080388,0.024776501,96651.23404,59370158.06,Earth,False,26.9,False
20525,2488615,488615 (2002 SR),0.13018321,0.291098508,24396.98784,59984250.48,Earth,False,21.55,False
57084,3838211,(2019 CC3),0.018388867,0.041118757,15172.80255,8748662.611,Earth,False,25.8,False
17757,3689268,(2014 SM1),0.020162992,0.045085821,81194.27066,71970585.36,Earth,False,25.6,False
16970,54087578,(2020 VP1),0.007808273,0.017459829,87127.03767,17437105.99,Earth,False,27.66,False
83164,3838848,(2019 DZ),0.042126461,0.094197631,54865.71972,46475150.17,Earth,False,24.0,False
18915,2003103,3103 Eger (1982 BB),2.368944994,5.297122041,42393.97511,69726373.86,Earth,False,15.25,False
34766,3564019,(2011 HP4),0.008027032,0.017948989,51617.43344,1272702.518,Earth,False,27.6,False
87609,54265890,(2022 FB3),0.056827032,0.127069107,57968.54252,70432138.65,Earth,False,23.35,False
86090,54191339,(2021 QK4),0.032103692,0.071786037,21920.38639,17434281.52,Earth,False,24.59,False
61120,3735677,(2015 XU1),0.046190746,0.103285648,57584.75574,21251133.58,Earth,False,23.8,False
39290,3837907,(2019 AJ13),0.006376098,0.014257388,22996.23124,4381507.732,Earth,False,28.1,False
1960,3780692,(2017 PC27),0.144063837,0.322136532,37795.05522,46899420.97,Earth,False,21.33,False
8108,3611400,(2012 UC),0.02658,0.059434687,27570.18903,31096013.77,Earth,False,25.0,False
18563,3835874,(2018 VD),0.010105434,0.022596438,38399.47374,67458955.88,Earth,False,27.1,False
27621,3536565,(2010 NM),0.033462237,0.074823838,30335.3899,30702473.67,Earth,False,24.5,False
84425,3547175,(2010 SX11),0.029144391,0.065168838,25366.31924,57588433.68,Earth,False,24.8,False
42173,3632243,(2013 EP89),0.080270317,0.179489885,44314.5754,9034404.551,Earth,False,22.6,False
85785,3666974,(2014 GS1),0.012149404,0.027166893,31141.97246,34072848.91,Earth,False,26.7,False
491,3556963,(2011 CA4),0.010105434,0.022596438,61023.67494,56115433.52,Earth,False,27.1,False
19067,3838930,(2019 EA2),0.018388867,0.041118757,40278.28831,37670651.61,Earth,False,25.8,False
24831,54016590,(2020 HP1),0.005064715,0.011325046,42600.57451,41130630.37,Earth,False,28.6,False
22236,3574134,(2011 OX17),0.22108281,0.494356193,116209.3662,49829641.63,Earth,False,20.4,False
46332,3608622,(2012 RL15),0.036690614,0.082042707,72543.80628,60224047.67,Earth,False,24.3,False
72135,3752418,(2016 HO2),0.016770846,0.037500752,21662.16001,6443248.552,Earth,False,26.0,False
60868,3653698,(2013 VW13),0.015295194,0.034201093,59794.81556,1281945.003,Earth,False,26.2,False
52898,54000953,(2020 CD3),0.001192765,0.002667104,19909.91795,25748.21691,Earth,False,31.74,False
10064,3842621,(2019 KH3),0.201629919,0.450858206,83138.24329,62697620.16,Earth,False,20.6,False
26650,54209304,(2021 TK14),0.059779871,0.133671856,35601.4527,50492521.73,Earth,False,23.24,False
14267,3769411,(2017 DE),0.058150704,0.130028927,77400.53317,52882967.91,Earth,False,23.3,False
59950,3789378,(2017 VM13),0.040230458,0.089958039,64854.48705,71691817.11,Earth,False,24.1,False
62948,3738548,(2015 YJ),0.006089126,0.0136157,94176.39671,48804753.53,Earth,False,28.2,False
31138,3841742,(2019 JF2),0.08405334,0.187948982,49354.59589,19696925.54,Earth,False,22.5,False
12269,3704145,(2015 AB246),0.080270317,0.179489885,42084.83475,52089783.47,Earth,False,22.6,False
65626,3440584,(2008 WL64),0.46190746,1.032856481,157028.3433,64991685.35,Earth,False,18.8,False
78989,3606312,(2012 PA),0.229379698,0.512908597,47244.80028,72531079.03,Earth,False,20.32,False
81112,54146075,(2021 KH),0.014274305,0.031918317,27060.21545,56589612.48,Earth,False,26.35,False
49766,3763284,(2016 VO1),0.063760979,0.142573883,31442.01771,31396890.59,Earth,False,23.1,False
78629,3724213,(2015 OO),0.096506147,0.215794305,54498.14354,27154382.68,Earth,False,22.2,False
25929,54196399,(2021 RK14),0.04814542,0.107656431,25054.26712,55872046.59,Earth,False,23.71,False
59392,3754252,(2016 LM48),0.197949759,0.442629117,44914.68654,53484690.17,Earth,False,20.64,False
61012,3738544,(2015 YG),0.060891262,0.136157002,72077.08988,40217222.07,Earth,False,23.2,False
74741,3884101,(2019 UC10),0.088014652,0.196806745,9513.418139,56319652.96,Earth,False,22.4,False
43471,3443214,(2008 YE30),0.152951935,0.342010925,95947.40535,24693727.6,Earth,False,21.2,False
64954,2256004,256004 (2006 UP),0.066765941,0.149293183,11668.86662,21970203.4,Earth,False,23.0,False
85356,54169955,(2021 NA6),0.056047336,0.125325654,9314.652593,40477804.03,Earth,False,23.38,False
18191,3692561,(2014 TV),0.035039264,0.078350176,26240.41236,27130379.2,Earth,False,24.4,False
15655,3725659,(2015 PA57),0.033462237,0.074823838,23892.57644,50902072.24,Earth,False,24.5,False
42237,54247854,(2016 FL60),0.0437074,0.097732718,51487.74597,57261732.73,Earth,False,23.92,False
54850,3879168,(2019 TZ6),0.007665756,0.017141151,55532.90215,20869801.84,Earth,False,27.7,False
82710,54110055,(2021 CT),0.010878148,0.024324279,20213.04401,932717.6169,Earth,False,26.94,False
88406,3366282,(2007 BD),0.022108281,0.049435619,69574.35974,56435592.12,Earth,False,25.4,False
12968,3064315,(1998 XN17),0.073207399,0.163696721,55785.79718,45509350.83,Earth,False,22.8,False
85754,54178990,(2021 PQ2),0.071540995,0.159970528,16718.71177,32096507.12,Earth,False,22.85,False
84094,2399325,399325 (1999 GY5),0.267026877,0.597090249,130770.4822,74204106.28,Earth,False,19.99,False
13361,54224418,(2021 WV1),0.00527904,0.011804293,8320.001563,19494807.55,Earth,False,28.51,False
43888,3843172,(2019 MB4),0.016770846,0.037500752,71742.34862,63067179.56,Earth,False,26.0,False
90724,54216274,(2021 UA12),0.005064715,0.011325046,14834.22521,28815434.17,Earth,False,28.6,False
27900,54144372,(2021 JX3),0.022727673,0.050820622,45540.00079,73327410.23,Earth,False,25.34,False
12972,3276600,(2005 GA120),0.027832677,0.062235757,43736.70713,709106.9188,Earth,False,24.9,False
13122,2396593,396593 (2001 HC),0.406027058,0.907904103,95677.68118,54983059.35,Earth,False,19.08,False
64765,3670141,(2014 HR178),0.249203981,0.557237043,37968.45742,8458509.165,Earth,False,20.14,False
76669,3656919,(2014 BG3),0.160160338,0.358129403,80778.64858,51437194.19,Earth,False,21.1,False
34432,3256043,(2004 TE8),0.350392641,0.783501764,77009.05143,51137983.16,Earth,False,19.4,False
84027,54137141,(2021 GN9),0.059231806,0.132446345,37204.69064,45731295.72,Earth,False,23.26,False
