Timestamp,SpeakingFreq,LogisticalConvComfort,QuestionComfort,BeliefComfort,DisagreeComfort,DisagreeLeaderComfort,FeelMostReadytoDicuss,LeastReadytoDiscuss,ReasonsDontSpeak,GenderIdentity
2/7/2025 9:48:36,3,4,4,2,2,2,"I am comfortable sharing when everyone in the meeting is focused on the best outcomes for students, which is most of the time.  I also think that I share more often when I feel more strongly about an issue (especially related to curriculum, multilevel, schedules, etc.), since I will feel guilty if I keep it inside.  ","I feel unable to speak when my personal ethics or morality are called into question based on differing opinions about important issues like racial bias.  I feel like the way these conversations have gone in the past have led us down some really problematic roads, where people are put into groups (like one group that does things well and one group that does things badly) as opposed to a spectrum of decisions, all made in good faith.  ","I feel like I shut down when conversations about teaching contain accusations of each other.  I don't think anyone intends to put anyone else down, but sometimes conversations about important things like implicit bias can turn into ""You're doing things wrong"" as opposed to ""I try to do things a different way because...""  ",Male
2/11/2025 7:49:08,4,3,4,3,3,3,"If I feel like there is something that will negatively impact students, teachers, or our schools in the long-term/overall, I am more apt to speak up. Or if I feel that everyone is told something as fact that I believe is not the full picture. When I feel alone and like my opinion hasn't been shared.","When I feel called out or disrespected as a person, I am more likely to keep to myself.","Fear of saying the wrong thing and getting reprimanded or shamed, anxiety about someone or everyone not liking me, or when I feel like my opinion is already being shared and taken into account.

I also have started to feel like my strengths (and strengths of others like me) are not valued by this department and leadership. I haven't decided whether this will increase or decrease the amount of time I talk. Based on how I feel right now, I think people just want me to stop talking.",Male
2/11/2025 7:51:08,2,2,3,2,1,1,"I take a while to process thoughts, so I am often not ready to speak or share my thoughts, opinions, and perspectives within our hour meeting.",Disagreeing with a male voice.,I don't have well-formulated thoughts.,Female
2/11/2025 7:54:00,1,2,3,2,2,2,"I feel very comfortable sharing my thoughts and opinions in smaller groups. Then, I feel able to share out with the larger group.","I am still learning and gathering my thoughts. I prefer to listen to absorb information without judgement, so that I can inform my opinions later.",I am just listening and digesting the information. It takes me a while to process and form my opinion.,Female
2/11/2025 7:55:48,3,4,3,3,3,2,Advocating for students,"Challenging systems and structures (multilevel, registration processes, power hierarchies in the department)","I don't want to be seen as overly critical, have my voice usurped by someone else, or be made to feel like what I said was uninformed.",Female
3/17/2025 21:53:30,2,2,3,2,1,1,Most comfortable when we are looking at math tasks/activities,Least ready when I hold a minority opinion. We never really discuss the tough issues like racism and sexism.,The men have the floor most of the time (and several tend to speak like they are the expert),Female
2/11/2025 7:57:41,1,2,3,1,2,2,In small groups,"When people have very strong opinions in one direction or another, or when I see people's comments getting targetted",I could be wrong and do not want to feel shut down as a newer teacher,Female
2/11/2025 7:59:15,3,3,2,2,1,2,I feel more confident with logistical conversations around department protocols and planning.,I feel extremely uncomfortable talking about issues involving equity and inclusion.  I feel like I may make a mis-step or say something that offends someone.,Fearful that I will offend someone or say something wrong that is unfair or not culturally responsive to students.,Female
2/11/2025 7:59:29,2,3,4,2,1,1,in neutral situations,Any time there is a disagreement,"In the last couple of years, I find some colleagues trying to silence others by being aggressively vocal. I leave many big team meeting feeling unpleasant ",Female
2/11/2025 8:00:01,1,3,3,2,2,3,When we are in small groups first then reconvene to larger group.,When large group conversation have strong vocal opinion voices.,Not ready to articulate or share thoughts.,Male
2/11/2025 8:01:09,2,3,2,2,1,1,I'm most comfortable speaking about logisitics and math department events.,"Most other times, though I've been working at being more comfortable sharing in the past year or two.",I don't want to be judged any more than I already am.,Male
2/11/2025 8:03:16,2,3,3,3,2,2,"Classroom related issues - behavior management, teaching strategies, etc...",Social justice related issues. ,"It is difficult to present any idea or viewpoint that could be seen as ""racist"" or ""intolerant"" even if this is not the intent. This is needed though because we have to think about how the inability to critically think about how the ""anti racist"" decisions may in fact be back firing in some ways.",Male
2/11/2025 8:06:05,1,2,4,2,1,2,I felt the most ready to share my opinions when I'm in a small group.,I feel least ready to share my opinions in front of the whole math department.,I'm new to the math department and and I'm still learning how things work. I would prefer to share my opinions after I know how things work.,Female
2/11/2025 8:06:54,1,2,3,1,1,1,I feel the most comfortable sharing in small groups.   I also want to clarify that that I am comfortable challenging/disagreeing with the person leading but only in a 1-1 setting or small group.   I am not comfortable speaking in front of the entire department if I have opposing thoughts or views on topics.  ,when the majority disagree with me,"I often don't speak because I feel like majority of the people in the room disagree with me.  However, I am confident with how I feel about certain things (backed by research).  Sometimes I also just don't know how to convey my thoughts.    I also feel like some people are not as open-minded as I wish they were, so I feel judged when I share my thoughts. ",Female
2/11/2025 9:02:04,3,4,3,2,2,1,I am most comfortable talking about logistics because I think that is a safe zone. There is no judgement involved there,I am uncomfortable talking about instructional practices and beliefs about students because they are taken as an attack on identity instead of constructive feedback,"Just dont see the point of it. I dont believe that my opinion will sway anyone's beliefs, opinions or plans. I am more afraid they will become lunchroom joke or something to be talked about in smaller groups",Female
2/11/2025 9:12:56,3,4,4,2,2,1,When I have a question.  When the discussion is about something more related to logistics and is relatively straightforward.,When my opinions seem counter to the views of the administration/person leading the meeting and/or the stronger voices in the department.,Sometimes someone else shared the same thoughts I had; sometimes it's an issue that I don't feel strongly about one way or the other; sometimes I don't feel confident in my speaking ability and am concerned that what I say will be misinterpreted.,Female
2/11/2025 11:05:01,2,2,1,3,3,1,"In a smaller setting with folks I have built trust with and have similar foundational beliefs about students and their abilities to achieve math at any level. Folks who are curious about how students with different amount of privilege may present in different classroom environments and spend time learning about ways to make math more accessible to students from historically marginalized backgrounds. We are a majority white, economically 
 and educationally privileged department and often these lived experiences and views are driving our group decisions and so I strive to acknowledge this reality every time I make a decision that may effect students from marginalized groups since inherently they are already starting at a disadvantage with our group of educators. ",In department meetings. In team meetings where folks don't appear to fully understand other perspectives especially ones that represent historically marginalized groups. Instead it feels like folks are listening to respond and are not able to agree on foundational beliefs around the importance of equity in math education. In teams where quantity over quality and right to comfort for the teacher/dominate student group are the driving factors to the classroom environment and instruction it is difficult to collaborate on lessons/curriculum. When we are acknowledging the humanity of our students on a daily basis it takes longer initially and then the pace and growth of students becomes exponential as the year goes on which is why typically we all end in the same place at the end of the year. ,"It feels like everyone has already dug into their ""camps"" and we can no longer see where the common ground is. The parallel's to attacks on DEI in our society feels like they are manifesting in our department in the constant challenging of equity initiatives(multi-level, grading for equity practices, inclusion, UDL, problem based curriculum, student driven vs. teacher driven). My hope for our school and department is that we can acknowledge and move forward/away from the racism, sexism and white supremacy that has historically existed in STEM education in our country. ",Female
