,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
156387,0.485,1949,0.987,"['André Gide', 'Jean Amrouche']",0.634,643507,0.267,0,41G5v76NrunIrVGI0CUch6,2.37e-05,1,0.115,-21.926,1,... et désillusions,0,1949,0.818,90.389
103274,0.198,1993,0.088,"['Depeche Mode', 'Alan Wilder', 'Steve Lyon']",0.526,260547,0.8959999999999999,0,6TfEHtZ0ob5BEwXfbaOQ7A,0.0958,8,0.462,-9.038,1,Mercy in You - 2006 Remaster,37,1993-03-22,0.0718,96.581
60927,0.215,1949,0.391,['Friedrich Wilhelm Nietzsche'],0.638,25118,0.303,0,0GkZTJly5FBv8t5IRG7kwS,0.0,8,0.223,-19.658,1,Kapitel 8 - Gedichte von Friedrich Nietzsche,0,1949,0.906,139.72799999999998
80834,0.556,1962,0.7659999999999999,['Bert Kaempfert'],0.447,176107,0.331,0,2kl2CThO24j4FPsFUkMKYP,0.945,7,0.21,-12.092,0,Similau,15,1962-01-01,0.0269,110.872
157805,0.828,1956,0.722,['Orquesta Huambaly'],0.716,195318,0.575,0,5XZpQlsvEhnPCUA2ZvnPVP,0.000724,0,0.0913,-8.75,1,Corazón de Melón,6,1956-01-01,0.0683,118.445
53377,0.357,2000,0.228,['Twiztid'],0.6679999999999999,189200,0.959,1,3IdNXr9qRDzFuWnW4jGlHe,0.0,2,0.7709999999999999,-1.909,1,We Don't Die,44,2000-01-01,0.224,103.959
59345,0.68,1940,0.992,['Kostas Roukounas'],0.584,195787,0.298,0,1ZwW9vtnSFAN2XhtPfujYQ,0.775,6,0.143,-13.059,1,Ntervisena,0,1940-01-01,0.036,109.687
6738,0.231,1955,0.954,['Sarah Vaughan'],0.29,197800,0.256,0,4hdLlKWTBWEj0DE0dR4Qmt,0.0,5,0.111,-10.555,0,Summertime,27,1955-04-12,0.0284,141.474
129091,0.7829999999999999,1961,0.3720000000000001,['Los Teen Tops'],0.583,150373,0.556,0,2VP5MCr94Weu9VEiGcNjts,0.0,8,0.6759999999999999,-12.165,0,La Suegra (Mother in Law),18,1961-10-25,0.0339,133.215
55238,0.765,2010,0.0381,['Adan Chalino Sanchez'],0.5660000000000001,196487,0.848,0,4nmYEaw0oVz3QKxUlrmFkh,0.0,6,0.142,-3.127,1,Nadie Es Eterno,57,2010-01-01,0.0482,103.292
89677,0.657,2007,0.0936,['Darude'],0.494,227493,0.99,0,3XWZ7PNB3ei50bTPzHhqA6,0.989,11,0.088,-4.928,0,Sandstorm - Radio Edit,46,2007-04-18,0.0569,136.363
64680,0.303,1968,0.353,['Miles Davis'],0.442,484333,0.463,0,4ab96AVzqHKjsICyFFEBHi,0.687,1,0.339,-12.92,1,Petits Machins (Little Stuff),34,1968-11,0.0356,120.87
165651,0.588,1995,0.0149,"['DJ Screw', 'UGK', 'Bun B', 'Pimp C']",0.807,279107,0.598,1,5bBE56c7peQN0K3CPc4HFY,0.5489999999999999,1,0.391,-11.564,1,Pregnant Pussy,32,1995-08-01,0.131,123.242
162458,0.727,1979,0.0396,['Aerosmith'],0.461,264133,0.7509999999999999,0,7CbywRyyKtmh3Df908OylG,0.00212,2,0.306,-9.451,1,Chiquita,25,1979-11-16,0.0341,130.472
109930,0.805,1945,0.873,['Woody Herman'],0.648,187067,0.365,0,3ZEaDn48oCeTHlC6NIJDUB,0.00293,1,0.196,-12.48,1,WOODCHOPPER'S BALL,0,1945,0.038,93.879
103795,0.97,1995,0.327,['Los Tigres Del Norte'],0.813,207867,0.489,0,13WH6BpofgaFuK0dpuJQcI,0.000621,10,0.0278,-12.045,1,Como Aceite Y Como El Agua,44,1995-01-01,0.0514,105.023
53394,0.908,2000,0.475,['Pebbles'],0.963,256493,0.8220000000000001,0,38bP8r9yx49g6pdQ90NH1X,0.0,2,0.17,-6.642,1,Girlfriend - Single Version,43,2000-01-01,0.106,118.499
130206,0.61,1967,0.246,['The Hollies'],0.38,182507,0.706,0,1mVqmSOE92kfJuDlOUDUQZ,1.7e-06,2,0.106,-6.84,1,Have You Ever Loved Somebody - Mono; 1999 Remaster,16,1967-06-01,0.0475,140.641
68255,0.904,1986,0.00407,['New Order'],0.638,337813,0.925,0,3RxyagFJ4YFSFh0Igjci2A,0.163,8,0.0369,-6.9270000000000005,1,"1963 - 12"" Version",41,1986-09-29,0.0315,125.613
146814,0.161,1975,0.607,['Wings'],0.376,183547,0.301,0,1s7ZdXksOJD0wCUBofKwe4,0.0,0,0.099,-10.826,1,Love In Song - Remastered 2014,29,1975-05-27,0.0249,75.378
148943,0.5720000000000001,1986,0.00299,['Najee'],0.6890000000000001,301693,0.431,0,5umIV8pqPs8g5JaRH0eaMB,0.522,4,0.0676,-17.937,1,For The Love Of You,24,1986,0.0361,102.354
12571,0.797,1984,0.00486,['38 Special'],0.5670000000000001,235640,0.7609999999999999,0,6XomFpGnHv0hYgUoW75dOw,3.43e-05,7,0.0547,-11.78,1,If I'd Been The One,48,1984-01-01,0.0279,142.941
51755,0.294,1992,0.00159,['Megadeth'],0.396,262427,0.903,0,4goJhfQRbNfYybpYf9xmbL,0.0176,0,0.0999,-4.796,1,Foreclosure Of A Dream - Remastered,48,1992-07-14,0.0389,136.751
29777,0.944,1976,0.797,['Raffi'],0.7879999999999999,65627,0.0862,0,09hVcho090iKfCEGMZ7lzJ,0.0,5,0.2,-17.837,1,The Sharing Song,43,1976,0.108,89.01700000000002
117646,0.852,1984,0.00291,['Deep Purple'],0.49,240027,0.89,0,6x8GeAremuPbjgKJw5ao4D,0.000923,2,0.0359,-6.599,1,Nobody's Home,40,1984-09-16,0.041,133.69899999999998
65618,0.54,1972,0.621,['Bob Weir'],0.569,221107,0.679,0,1wrFUny4CRCDV5wTMv7RYK,0.000125,6,0.135,-7.784,1,Cassidy,31,1972,0.0297,149.346
96136,0.962,1957,0.995,"['Johann Sebastian Bach', 'Glenn Gould']",0.703,132480,0.254,0,1hTBUqCQAknf8zhGkD6c0g,0.932,0,0.111,-25.798,0,"Fantasy in C minor, BWV 919",19,1957,0.0594,95.996
145406,0.728,1968,0.327,['Neil Diamond'],0.612,168973,0.633,0,66kaBqn5W5PC4iRI7JJr5F,0.0,0,0.189,-5.153,1,You'll Forget,23,1968,0.0339,124.077
77804,0.762,1947,0.988,['Sardar Malik'],0.417,173880,0.138,0,3gauROF4S2WaY4zolUcdKO,0.338,3,0.11,-13.098,1,Sunti Nahin Duniya Kabhi Fariyad,0,1947-12-31,0.0489,172.31900000000005
88987,0.961,2004,0.00111,['Katrina & The Waves'],0.595,216000,0.943,0,4pxfRRSEn8EfgZWcN3IgL8,0.288,10,0.223,-7.255,1,Walking on Sunshine - 2004 Version,51,2004-01-01,0.0507,109.014
23562,0.831,1944,0.996,['Rafique Gaznavi'],0.6970000000000001,152405,0.364,0,1kftfu59Ui6EX4pBkIoJd6,0.878,9,0.366,-11.71,0,Aaya Toofan Jaag Bharat Ki Nari,0,1944-01-01,0.22,71.887
111373,0.447,1952,0.916,"['Richard Wagner', 'Otto Edelmann', 'Karl Dönch', 'Wilhelm Felden', 'Günther Treptow', 'Wiener Philharmoniker', 'Paul Schöffler', 'Hans Knappertsbusch']",0.341,281467,0.165,0,1eRKo2WRFmzT0I0MrI29Rh,0.0,0,0.127,-20.102,1,"Die Meistersinger von Nürnberg - Act 1: ""Seid meiner Treue wohl versehen""",0,1952-01-01,0.0533,173.514
169102,0.419,2013,0.00494,['Selena Gomez'],0.642,200640,0.8390000000000001,0,345HZXxfL8S8HkVzytD1Pw,0.0,1,0.534,-2.7,0,Birthday,52,2013-01-01,0.0455,106.969
155744,0.188,1930,0.985,['P.Pinchink'],0.234,500573,0.133,0,7yJXhNhZDwslUAmimnPVzt,0.00392,6,0.16,-14.193,1,Rozo d'shabbos,1,1930,0.0429,82.09100000000002
62792,0.499,1958,0.8370000000000001,['Art Farmer'],0.455,281293,0.206,0,5dPUrl7qMfchlVgXSNOhWQ,0.375,2,0.0667,-16.499000000000002,0,Mox Nix - Remastered,20,1958,0.0562,170.50099999999995
52568,0.613,1996,0.579,['UGK'],0.6629999999999999,325373,0.606,0,02BDSCfu9jBYvJ8LkUVttD,0.0,5,0.217,-7.552,1,Hi Life,43,1996-07-30,0.203,79.721
108134,0.313,2017,0.0263,['ZAYN'],0.452,199600,0.688,0,5y4XJ9UFS5eOdoYPF5pSAE,0.0,0,0.11,-4.84,0,There You Are,69,2017,0.0385,76.99
27738,0.185,1966,0.975,['Boris Karloff'],0.308,217640,0.115,0,4b63vYCVx6LZ1OMzRUIFdz,3.83e-05,10,0.0876,-16.173,1,Welcome Christmas - Reprise,37,1966-12-18,0.0287,101.39
61418,0.0623,1951,0.964,"['Samuel Barber', 'William Strickland', 'Dumbarton Oaks Chamber Orchestra']",0.219,847467,0.194,0,0PUZBYcXMgUckhNpdEjSzv,0.012,9,0.0642,-14.164,1,"Knoxville: Summer of 1915 for Voice and Orchestra, Op. 24 (In Memory of My Father)",0,1951,0.0369,89.155
76695,0.8640000000000001,1939,0.0312,['Kriszta Kovats'],0.83,162333,0.454,0,7G2FbLO5vIM2S0aokD1xR5,4.83e-05,10,0.0895,-18.222,0,A Thököly úton,0,1939-07-01,0.4,173.782
42432,0.6779999999999999,1946,0.89,"['Peter Erasmus Lange-Müller', 'Orchestra of the Royal Danish Theatre', 'Georg Høeberg']",0.5760000000000001,62716,0.165,0,1GWVJpsTMys2jJ5HakYM2f,0.7809999999999999,0,0.125,-17.000999999999998,1,"Der var Engang: No. 1, Forspil",0,1946,0.0463,89.522
103253,0.39,1992,0.00601,['Madonna'],0.659,333467,0.818,0,6KU8g98m1tcrUXRNjPQeOI,0.299,7,0.336,-7.09,0,Deeper and Deeper,44,1992-10-20,0.0265,119.943
158266,0.63,1958,0.957,['Erroll Garner'],0.562,200840,0.347,0,2omNFy06HI15tD5AiJGVGy,0.92,1,0.0986,-14.484000000000002,1,Robbins' Nest,6,1958,0.0358,133.81799999999998
63931,0.0393,1964,0.951,['Laura Olsher'],0.292,179053,0.77,0,5Mfchkmr2x7jxShc0OmBhH,0.0179,4,0.193,-15.647,1,The Haunted House,21,1964-01-01,0.334,90.217
167827,0.152,2006,0.00494,['Angels & Airwaves'],0.4970000000000001,399453,0.757,0,2ggtDdcgrAoMC1tlermPT9,0.148,9,0.107,-7.426,1,Valkyrie Missile,39,2006-01-01,0.0375,151.02
122752,0.7020000000000001,2010,0.000282,['CeeLo Green'],0.632,218280,0.7490000000000001,0,2zT5npcA5n2RhhnBiWg3zo,1.31e-05,4,0.73,-5.125,1,Bright Lights Bigger City,47,2010-11-09,0.0294,108.994
132289,0.674,1977,0.119,['Aerosmith'],0.475,189040,0.899,0,7JUCFVrvL1WbDkUXLDjpS8,0.000391,4,0.211,-9.751,1,I Wanna Know Why,27,1977-12-01,0.043,136.612
68250,0.4370000000000001,1986,0.0016,['AC/DC'],0.43,173653,0.6,0,1nUk7iNwJ26jIhNaEHt910,0.925,5,0.128,-8.259,1,D.T.,41,1986-05-24,0.067,99.187
121312,0.599,2002,0.129,"['Linkin Park', 'DJ Babu', 'Pharoahe Monch', 'Evidence']",0.66,210733,0.943,0,63B3TtwUzOoJoe3unMteVa,0.0,1,0.557,-4.166,0,H! Vltg3 (Evidence Reanimation) [feat. Pharoahe Monch and DJ Babu],38,2002-07-29,0.277,93.696
21271,0.395,1932,0.976,['alejandro ramirez silva'],0.434,137366,0.215,0,53mSJE7rPGsWhNEXhNNcEK,0.915,2,0.101,-16.67,1,El choclo,0,1932-04-25,0.0436,116.805
54845,0.0639,2008,0.99,"['Claude Debussy', 'Jean-Efflam Bavouzet']",0.294,244107,0.0171,0,1btSclzWM6mSKy0pFACPCZ,0.91,4,0.0854,-32.376999999999995,1,"2 Arabesques, L. 66: No. 1 in E Major",57,2008-01-01,0.038,137.906
2667,0.477,1935,0.884,['Tommy Dorsey'],0.657,199493,0.303,0,07WDFpt2TXypLMyfbnuOnR,0.92,2,0.0598,-12.943,0,Satan Takes a Holiday,8,1935,0.253,146.289
154200,0.212,2013,0.159,['Kevin Gates'],0.768,215468,0.718,1,65hSpz9HeIx21NZZJ8iyGl,0.0,10,0.111,-3.928,1,Don't Know What to Call It,46,2013-07-16,0.0809,124.95
126519,0.0542,1948,0.986,"['Igor Stravinsky', 'Columbia Symphony Orchestra']",0.0928,171560,0.0339,0,5Q41u5QSZTcDNVXMEsyqJq,0.728,1,0.226,-31.011,0,"Le sacre du printemps: Part 2 ""The Sacrifice"", Mystic Circles of the Young Girls",0,1948,0.0397,78.961
13593,0.5429999999999999,1989,0.00882,['Warrant'],0.606,243040,0.85,0,0dw3dXWx6dgp7Ri3HeDBUq,0.000215,8,0.0965,-10.720999999999998,1,Down Boys,48,1989,0.0389,113.794
85604,0.512,1986,0.15,['José Luis Perales'],0.5539999999999999,263133,0.732,0,3a75hzF5pKpBskBZAonmUV,0.00334,10,0.111,-5.207999999999998,0,Porque Te Vas,44,1986,0.0287,186.027
117543,0.851,1983,0.347,['Aztec Camera'],0.605,195360,0.735,0,0cz4h25uUYIy2Y7S6pHR8F,0.000369,0,0.193,-10.536,1,The Boy Wonders,24,1983,0.0368,147.21200000000005
90104,0.225,2009,0.767,['Brooks & Dunn'],0.598,339569,0.244,0,02qR0Dbi6JawnhEHD3UxHq,3.3799999999999995e-05,9,0.106,-8.003,1,Believe,46,2009-09-08,0.0374,117.108
72357,0.551,2006,0.382,['Marc Anthony'],0.603,285173,0.81,0,7jmoBQVXVFProuKMZJ1vru,0.0,2,0.0277,-2.371,0,Celos,58,2006-06-30,0.0484,91.838
168764,0.7170000000000001,2011,0.102,"['Lil Jon & The East Side Boyz', 'Mystikal', 'Krayzie Bone']",0.789,269307,0.82,1,1X0EjhOpkLqGrU9pSJVaYl,0.0,6,0.0873,-3.844,1,I Don't Give A Fuck,44,2011-03-15,0.334,160.04
135666,0.765,1994,0.117,['Masayoshi Takanaka'],0.594,350000,0.779,0,7hgTD3nmWLbF58Rsugc27d,0.8440000000000001,11,0.0404,-9.609,0,BREEZIN',38,1994-06-25,0.0435,104.434
163090,0.452,1982,0.00413,['The Psychedelic Furs'],0.451,231267,0.825,0,1n2vZqzvCV7ql5Tx3mNdAt,0.138,2,0.242,-5.881,1,Sleep Comes Down,25,1982,0.0365,111.342
46875,0.81,1968,0.539,['Dorothy Ashby'],0.705,179653,0.402,0,2GhirY1WxwRTIW6R6FowyO,0.386,5,0.119,-14.231,1,Afro-Harping,37,1968-01-01,0.0407,78.072
17956,0.4320000000000001,2011,0.552,"['JAY-Z', 'Kanye West', 'Otis Redding']",0.754,178213,0.631,1,6vegnfDS8DAEaCqWaPYGPy,0.0,7,0.5,-4.751,0,Otis,67,2011-08-08,0.307,94.577
7059,0.74,1957,0.605,"['Sonny Rollins', 'Tommy Flanagan', 'Doug Watkins', 'Max Roach']",0.552,407600,0.509,0,05LNBtMuc26HSAHh7C6iG8,0.509,0,0.0827,-9.828,1,St. Thomas,45,1957-04,0.0428,112.049
44674,0.853,1957,0.978,"['Stan Getz', 'Oscar Peterson Trio']",0.54,454573,0.278,0,4sA7F6wOKndI7PQUzLR7FL,0.785,5,0.129,-14.428,1,I Want To Be Happy,25,1957-01-01,0.0364,134.267
137115,0.897,2001,0.624,['Peter And Gordon'],0.579,145267,0.618,0,2yi1HjKqErtxTjK2v5TtjW,1.29e-05,4,0.412,-8.237,1,I Go to Pieces,42,2001-02-04,0.0275,112.07
141077,0.411,1940,0.7240000000000001,['Эрнест Хемингуэй'],0.765,96700,0.121,1,418nmYxFGrsO7jdNYRbml3,0.0,11,0.453,-20.494,0,Часть 153.5 & Часть 154.1 - По ком звонит колокол,0,1940,0.961,83.02799999999998
161502,0.355,1974,0.315,['Queen'],0.229,332893,0.737,0,3MIueGYoNiyBNfi5ukDgAK,0.000119,9,0.974,-7.701,0,"White Queen (As It Began) - Live At Hammersmith Odeon, London / December 1975",17,1974-03-08,0.0495,146.71200000000005
924,0.956,1926,0.913,['Louis Armstrong & His Savoy Ballroom Five'],0.78,178707,0.466,0,1xg3uCUEpqxBhNEITu3hIx,0.809,3,0.102,-9.048,1,Beau Koo Jack,5,1926,0.0865,120.703
58600,0.772,1935,0.935,"['Franz Joseph Haydn', 'Pro Arte Quartet']",0.491,104133,0.0794,0,2uKosDoIOiQQDkqRshn0yT,0.000444,10,0.113,-15.337,1,"Haydn: String Quartet No. 1 in B-Flat Major, Op. 1 No. 1, Hob. III, 1, ""La chasse"": II. Menuetto",0,1935,0.0449,167.918
109091,0.45,1928,0.6559999999999999,['Seweryn Goszczyński'],0.71,101500,0.303,0,7l6tpIxHfjnlFKr5sec871,0.0,1,0.166,-20.337,1,Chapter 2.4 - Zamek kaniowski,0,1928,0.948,126.16
72589,0.498,2007,2.93e-05,['The Wombats'],0.252,210560,0.8859999999999999,0,5YHhxbtAAkOiIXqNBfYjZU,5.33e-06,9,0.256,-4.678,0,Moving to New York,46,2007-07-09,0.0714,161.939
51678,0.521,1992,0.7170000000000001,['Rocío Dúrcal'],0.302,217507,0.461,0,7aOFPde65u12EJmh1dr7uL,2.23e-06,7,0.57,-12.678,1,La Gata Bajo la Lluvia,59,1992-10-14,0.0547,175.799
148294,0.383,1983,0.935,"['George Frideric Handel', 'The English Concert', 'Trevor Pinnock']",0.6679999999999999,252773,0.147,0,6Xq59xlhj1LzqfkU2BlPx3,0.633,1,0.0633,-16.217,1,"Water Music Suite No. 2 in D, HWV 349: 2. Alla Hornpipe",29,1983-01-01,0.0385,112.334
155400,0.375,2020,0.028,"['K CAMP', 'Jacquees']",0.633,231718,0.471,1,0te0mYcVMqRLc4vuDjZ0Yg,4.42e-06,1,0.166,-9.284,1,What's On Your Mind (feat. Jacquees),65,2020-04-24,0.282,129.17
36278,0.483,2008,0.174,['Basshunter'],0.644,184067,0.985,0,0rLLvdWX1z3UPqYa73Hhyg,0.019,4,0.0831,-7.059,1,All I Ever Wanted - Radio Edit,52,2008-09-23,0.0506,145.02
93317,0.392,1940,0.993,"['Rita Ampatzi', 'Kostas', 'Giaoyzos', 'Klarino']",0.449,194693,0.231,0,2OcfxrGIdFFWW30MkCWEA0,0.922,11,0.11,-15.589,0,Mia konti kontoyla,0,1940-01-01,0.0498,112.41
65589,0.703,1972,0.595,['The Manhattans'],0.643,183053,0.504,0,4tsJKKiJ4OWdMiMzFZEjvD,0.0,9,0.102,-10.1,0,Blackbird,38,1972,0.0418,120.199
58094,0.287,1930,0.987,['Dimitris Arapakis'],0.38,188840,0.29,0,2C44IgIfEpccDerLWYEk3H,2.31e-06,8,0.102,-10.589,0,H dolofonissa,0,1930-01-01,0.0414,106.59
2228,0.731,1933,0.782,['Billie Holiday'],0.588,196680,0.229,0,3IyU1ZVNbJKnZzZuFrqdtv,0.0,10,0.0384,-13.115,1,Back In Your Own Backyard - Take 2,26,1933,0.0492,129.597
81123,0.764,1964,0.557,['The Beach Boys'],0.4,129467,0.7659999999999999,0,72t33ISDa9b4XoIgtmlp3t,4.29e-06,5,0.101,-6.202000000000001,1,Why Do Fools Fall In Love - Remastered 2001,23,1964-03-02,0.0433,82.708
8826,0.31,1966,0.232,['Otis Redding'],0.483,240800,0.275,0,4PFiLGx8jAzcAJxwPLUeZ9,0.0,0,0.125,-13.609000000000002,1,Cigarettes and Coffee,65,1966-04-01,0.0418,138.063
115633,0.779,1974,0.103,['Genesis'],0.386,247213,0.8109999999999999,0,5pG47ESf6I5VPy8XEfxlPq,0.061,1,0.206,-6.837999999999999,0,Riding the Scree - New Stereo Mix,24,1974-11-18,0.0463,158.14600000000004
133239,0.944,1982,0.392,['Billy Joe Shaver'],0.7290000000000001,172360,0.584,0,5halUIADjStNSj6yiI0ZOX,0.000175,6,0.0893,-10.638,1,Love You Till the Cows Come Home - Single Version,24,1982,0.0848,77.569
8747,0.647,1965,0.6729999999999999,['Bob Dylan'],0.4320000000000001,681400,0.605,0,4n1ZGm3TxYmoYe1YR8cMus,0.0,4,0.129,-6.941,1,Desolation Row,50,1965-08-30,0.0306,109.227
37000,0.622,2012,0.023,['One Direction'],0.606,194693,0.929,0,1I93YiKgu2P5pwprWmziPI,0.0,0,0.101,-2.182,1,Up All Night,67,2012-05-25,0.055,139.02200000000002
167940,0.906,2007,0.132,"['Miguel Bosé', 'Julieta Venegas']",0.711,225373,0.8220000000000001,0,3osYhl8lGmLJYASrrh9Y5f,0.0,9,0.0444,-5.766,0,Morenamía (Dueto 2007),58,2007,0.231,160.011
51780,0.669,1992,0.851,['Juan Luis Guerra 4.40'],0.633,245400,0.504,0,2O316lUcBPzHBwATEMHQqp,0.0,11,0.1639999999999999,-6.948,1,Frio Frio,52,1992-01-01,0.0341,121.916
147780,0.701,1980,0.0596,['Kurtis Blow'],0.845,278040,0.449,0,2ZkGTlqgWtX2EOAV1uAyjG,0.00302,8,0.0836,-12.594,0,Hard Times,20,1980-01-01,0.119,98.776
118665,0.383,1989,0.000794,['Bad Religion'],0.294,135120,0.988,1,6H12nfM8hBufUCIkxLU6bF,0.0,1,0.113,-2.9930000000000003,0,Progress,35,1989,0.103,151.42600000000004
60563,0.759,1947,0.98,['Mohantara Talpade'],0.855,175306,0.225,0,2pdCJtbk9WewuPhdW3HFXD,0.00805,2,0.359,-9.812,1,Rang De Rangrej Chunariya,0,1947-12-31,0.174,116.061
46169,0.358,1964,0.892,['101 Strings Orchestra'],0.377,199648,0.226,0,4MVuhj4kkkPxOWhdHPCCkM,0.344,0,0.1369999999999999,-12.074000000000002,1,Begin the Beguine,34,1964-01-01,0.0279,134.304
162272,0.961,1978,0.229,['DEVO'],0.887,160627,0.804,0,2IXYCHNjBKMCogL3ESRcdQ,0.00317,9,0.0941,-7.4129999999999985,0,(I Can't Get No) Satisfaction - 2009 Remaster,21,1978,0.144,102.143
33136,0.371,1993,0.000698,['TOOL'],0.639,331853,0.6809999999999999,1,5q4L6JyoEY3VN5pOSbgjS8,0.198,2,0.119,-6.735,1,Swamp Song,53,1993-04-06,0.0334,129.09799999999998
31322,0.298,1984,0.774,['George Jones'],0.607,171773,0.268,0,0sm3ZtBLGY0Wbz7MOwwmGK,5.320000000000001e-05,6,0.101,-15.747,1,Tennessee Whiskey,47,1984-01-01,0.0289,105.296
51511,0.28,1991,0.995,"['Wolfgang Amadeus Mozart', 'Jenő Jandó']",0.344,258467,0.0116,0,2y2JgBXBIo5RGoWJFHyCzr,0.923,10,0.0977,-31.318,1,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",47,1991-07-23,0.0428,77.997
4171,0.52,1942,0.992,['N. Vanaja'],0.5479999999999999,207047,0.151,0,0G9iOltuQ7FwtIDeDkYq3H,0.893,7,0.072,-12.335,1,Raapoorna Chandrika,0,1942-12-31,0.0487,65.67399999999999
141765,0.847,1948,0.992,['Lalita Dewoolkar'],0.741,184050,0.0776,0,5nYuBcBxvRITDuHUBBflcl,0.000429,1,0.248,-14.098,1,Zara Mere Dil Se Poochho,0,1948-12-31,0.152,148.28
44928,0.515,1958,0.8859999999999999,['Champion Jack Dupree'],0.754,223133,0.139,0,7tQhQvPb7IENv3P7EvdvWr,0.00032,0,0.148,-21.371,1,Can't Kick the Habit,26,1958,0.0624,70.467
13340,0.588,1988,0.00327,['Metallica'],0.639,385987,0.838,0,1WnEyhN7Gdu23DQvUZkQy8,0.00714,11,0.0834,-8.179,0,Eye of the Beholder (Remastered),50,1988-09-07,0.0453,122.179
64277,0.738,1966,0.00247,"['John Mayall & The Bluesbreakers', 'Eric Clapton']",0.28,215027,0.715,0,6jKcmgac1pj1iaqBPsF3rF,2.04e-05,2,0.0388,-4.787,0,All Your Love - Mono,33,1966-06-22,0.029,107.162
169302,0.487,2014,0.435,"['Nicki Minaj', 'Beyoncé']",0.6809999999999999,237840,0.703,1,4KpAlKo4zqnfXqhVW0QxPO,0.00879,2,0.357,-5.51,1,Feeling Myself,51,2014-12-15,0.196,139.328
160932,0.441,1971,0.426,['Stevie Wonder'],0.387,417893,0.388,0,5prXUVnzXFeUf5WsjVWXmx,4.78e-06,1,0.246,-12.369000000000002,1,Sunshine In Their Eyes,22,1971-04-01,0.0367,124.334
106725,0.4,2010,0.0261,"['Enrique Iglesias', 'Nicole Scherzinger']",0.569,256080,0.89,0,0yICN9QFclohtq33HSmFwZ,0.0,10,0.271,-3.197,1,Heartbeat,51,2010-01-01,0.0926,130.01
55916,0.04,2013,0.539,['Lorde'],0.489,221409,0.535,0,02ZorlDGq0uTnMobHNh4EL,0.0266,7,0.166,-10.34,1,Bravado,59,2013-01-01,0.0933,175.921
104693,0.795,2000,0.0313,['Matchbox Twenty'],0.462,243360,0.936,0,2mFcrmNOBPrJrl6KryWV4j,0.0,2,0.253,-5.632999999999999,1,Last Beautiful Girl,43,2000-05-23,0.0561,149.98
