,color,fabric type,pants,skirt,dress,top,gender,accessories ,shoe type,album,glitter
,blue/black/white,denim/cotton,yes,no,no,yes,girl,x,boots,midnights,no
,pink,sequins/fur,no,no,yes,yes,girl,sunglasses,heels,lover,yes
,blue,sequins,no,no,yes,no,girl,x,sneakers,speak now,yes
,pink/white,cotton,no,yes,no,yes,girl,x,sneakers,lover,no
,blue/black/white,denim/sequin,yes,no,no,yes,girl,x,sneakers,midnights,no
,black,sequins,no,no,yes,no,girl,x,boots,midnights,yes
,blue,sequins,yes,no,no,yes,girl,x,boots,midnights,yes
,white/purple,denim/cotton,yes,no,no,yes,boy,x,sneakers,midnights,no
,black/red,denim/cotton,yes,no,no,yes,girl,x,sneakers,red,no
,white,linen,yes,no,no,yes,boy,x,boots,fearless,no
,white,silk,yes,no,no,yes,girl,sleep mask,sneakers,1989,no
,white,silk,yes,no,no,yes,girl,sleep mask,sneakers,1989,no
,purpole,sequins,no,no,yes,no,girl,x,boots,midnights,yes
,silver,sequins,no,no,yes,no,girl,x,boots,midnights,no
,pink/black,silk/cotton,yes,no,no,yes,girl,sunglasses,boots,1989,no
,pink/black,leather/mesh/cotton,no,yes,no,yes,girl,sunglasses,boots,1989,no
,green,cotton,no,no,yes,no,girl,x,boots,1989,
,pink/blue,feathers,no,no,yes,no,girl,x,boots,lover,
,black/hold,cotton,no,no,yes,yes,girl,x,boots,reputation,
,gold,sequins,no,no,yes,no,girl,x,boots,fearless,
,white/red,cotton,no,no,yes,no,girl,x,boots,red,
,purple/white,cotton,no,no,yes,no,girl,x,boots,speak now,
,red,cotton/denim,yes,no,no,yes,girl,hat,sneakers,red,
,blue/white/silver,satin,no,no,yes,no,girl,x,boots,midnights,
,pink/white,sequins,no,no,yes,no,girl,x,boots,lover,
,purple/white,cotton,no,no,yes,no,girl,cowgirl hat,boots,speak now,
,black/red,sequins,no,no,yes,no,girl,x,boots,reputation,
,blue/white,cotton,no,no,yes,no,girl,x,boots,midnights,
,pink/white/organge,cotton,yes,no,no,yes,boy,x,sneakers,lover,
,pink,cotton,no,no,yes,no,girl,glasses,sneakers,lover,
,silver/white,no,no,no,yes,no,girl,cowgirl hat,boots,fearless,
,pink,cotton,no,no,yes,no,girl,cowgirl hat,boots,lover,
,purple,cotton,no,no,yes,no,girl,x,boots,Taylor Swift,
,green,cotton,no,no,yes,no,girl,cowgirl hat,boots,Taylor Swift,
,teal,cotton/leather,no,no,yes,yes,girl,x,boots,Reputation,
,silver/white,sequin,no,no,yes,no,girl,x,boots,Midnights,
,organe/red,cotton/silk,no,yes,no,yes,girl,x,sneakers,lover,
,purple,sequins,no,no,yes,no,girl,x,boots,midnights,
,black,seqiuns,no,no,yes,no,girl,x,boots,midnights,
,silver,seqiuns,no,no,yes,no,girl,cowgirl hat,boots,fearless,
,pink,cotton,no,no,yes,no,girl,cowgirl hat,boots,fearless,
,green/white,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,silver,fringe,no,no,yes,no,girl,x,boots,fearless,
,red/black,sequins,no,no,yes,no,girl,x,boots,red,
,white/brown,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,pink,mesh,no,no,yes,no,girl,x,boots,lover,
,blue,sequins,no,no,yes,no,girl,x,boots,midnights,
,silver/white,sequins,no,no,yes,no,girl,x,boots,midnights,
,white/black,cotton,no,yes,no,yes,girl,x,boots,reputation,
,black,seqiuns,no,no,yes,no,girl,x,boots,reputation,
,silver,sequins,no,no,yes,no,girl,x,boots,reputation,
,blue/silver,sequins,no,no,yes,no,girl,x,boots,midnights,
,purple,cotton,no,no,yes,no,girl,x,boots,folklore,
,teal/pink,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,pink,sequins,no,no,yes,no,girl,x,boots,lover,
,white,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,pink,cotton,yes,no,no,yes,boy,x,sneakers,lover,
,green/pink,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,pink,mesh,no,no,yes,no,girl,x,sneakers,lover,
,purple/black,sequins,no,no,yes,yes,girl,x,boots,speak now,
,black/white,sequins,no,no,yes,yes,girl,x,heels,midnights,
,blue/black,cotton,yes,no,no,yes,girl,x,boots,midnights,
,silver/black,sequins,no,no,yes,no,girl,x,boots,reputation,
,pink/silver,sequins,no,no,yes,no,girl,x,boots,lover,
,green/white,sequins/feathers,no,no,yes,yes,girl,x,boots,taylor swift,
,blue/white,sequins,no,no,yes,no,girl,x,boots,midnights,
,white/silver/pink,sequins/cotton,no,no,yes,yes,girl,x,boots,lover,
,black,sequins,no,no,yes,yes,girl,x,boots,reputation,
,silver/black,sequins/cotton,no,yes,no,yes,girl,x,boots,reputation,
,red,cotton,no,no,yes,no,girl,x,boots,red,
,pink,feathers,no,no,yes,no,girl,x,boots,lover,
,white,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,purple,cotton,no,no,yes,no,girl,x,boots,speak now,
,silver,latex,no,no,yes,no,girl,x,boots,reputation,
,teal/brown,cotton,no,no,yes,no,girl,x,boots,taylor swift,
,yellow,cotton,no,no,yes,no,girl,x,boots,taylor swift,
