tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,budget,popularity,revenue
tt0059418,Major Dundee,1965,123,"Adventure,War,Western",6.7,8282,3800000,3.055936,14873
tt0059573,A Patch of Blue,1965,105,"Drama,Music,Romance",8,8947,800000,2.46167,6792000
tt0059800,Thunderball,1965,130,"Action,Adventure,Thriller",6.9,120637,5500000,10.517835,141195658
tt0059825,The Train,1964,133,"Action,Thriller,War",7.8,17163,5800000,4.412564,6800000
tt0060315,Django,1966,91,"Action,Western",7.2,28790,0,4.891638,17277
tt0060490,Harper,1966,121,"Crime,Drama,Mystery",6.8,9835,3500000,8.55931,12000000
tt0060491,Hawaii,1966,189,Drama,6.5,3284,15000000,3.210693,34562222
tt0060665,A Man for All Seasons,1966,120,"Biography,Drama,History",7.7,35223,3900000,6.997888,28350000
tt0060934,The Sand Pebbles,1966,182,"Adventure,Drama,Romance",7.6,15344,12000000,11.354247,20000000
tt0061420,The Born Losers,1967,113,"Action,Drama,Thriller",5.9,2549,360000,1.345165,36000000
tt0061452,Casino Royale,1967,131,Comedy,5,30764,12000000,13.300519,41744718
tt0061502,The Comedians,1967,150,Drama,6.3,2202,0,2.86317,5200000
tt0061512,Cool Hand Luke,1967,127,"Crime,Drama",8.1,179101,3000000,9.718713,16217773
tt0061735,Guess Who's Coming to Dinner,1967,108,"Comedy,Drama",7.8,46211,4000000,5.032469,56666667
tt0061927,Luv,1967,93,"Comedy,Romance",5.3,631,0,0.985785,1000000
tt0061955,The Bride Wore Black,1968,107,"Crime,Drama,Mystery",7.2,9576,747000,2.775402,44566
tt0062467,Wait Until Dark,1967,108,Thriller,7.7,31545,4000000,6.216637,11000000
tt0062512,You Only Live Twice,1967,117,"Action,Adventure,Thriller",6.8,111585,9500000,10.359669,111584787
tt0062711,Barbarella,1968,98,"Adventure,Comedy,Fantasy",5.8,35684,9000000,14.304205,2500000
tt0063374,The Odd Couple,1968,105,Comedy,7.6,35712,0,8.3539,44527234
tt0063518,Romeo and Juliet,1968,138,"Drama,Romance",7.6,32980,0,6.99099,38901218
tt0063522,Rosemary's Baby,1968,137,"Drama,Horror",8,220338,3200000,11.504558,33395426
tt0063592,Shalako,1968,113,Western,5.6,3219,1455000,6.229674,2620000
tt0063642,Star!,1968,176,"Biography,Comedy,Drama",6.4,2162,14320000,0.585397,14000000
tt0064040,Army of Shadows,1969,145,"Drama,War",8.1,24174,0,7.872569,741766
tt0064115,Butch Cassidy and the Sundance Kid,1969,110,"Biography,Crime,Drama",8,218326,6000000,6.714577,102308889
tt0064418,"Hello, Dolly!",1969,146,"Adventure,Comedy,Musical",7,15878,24000000,8.407519,33208099
tt0065054,Sweet Charity,1969,149,"Comedy,Drama,Music",6.9,6117,8000000,0.537378,20000000
tt0065112,Topaz,1969,143,"Drama,Thriller",6.2,18647,4000000,5.757907,6000000
tt0065214,The Wild Bunch,1969,145,"Action,Adventure,Western",7.9,85997,6244087,11.722424,638641
tt0065377,Airport,1970,137,"Action,Drama,Thriller",6.6,19625,10000000,7.873018,100489151
tt0065462,Beneath the Planet of the Apes,1970,95,"Action,Adventure,Sci-Fi",6,48027,3000000,12.325947,18999718
tt0065486,Borsalino,1970,125,"Crime,Drama",6.9,4346,0,4.471645,3
tt0066011,Love Story,1970,100,"Drama,Romance",6.9,35182,2200000,6.127903,136400000
tt0066090,The Molly Maguires,1970,124,"Drama,History",6.8,4058,11000000,2.27258,2200000
tt0066115,Myra Breckinridge,1970,94,Comedy,4.4,3233,5000000,0.619657,3000000
tt0066249,The Private Life of Sherlock Holmes,1970,125,"Adventure,Comedy,Crime",7,12499,10000000,4.127728,1500000
tt0066434,THX 1138,1971,86,"Drama,Sci-Fi,Thriller",6.7,52399,777000,8.152085,2437000
tt0066549,Waterloo,1970,134,"Action,Biography,Drama",7.2,10901,25000000,3.240624,3052000
tt0066773,The Goalie's Anxiety at the Penalty Kick,1972,101,"Drama,Sport",6.6,2033,410000,0.769053,100
tt0066921,A Clockwork Orange,1971,136,"Crime,Sci-Fi",8.3,835793,2200000,17.112594,26589000
tt0066927,Cold Turkey,1971,99,Comedy,6.6,2276,0,0.60908,11000000
tt0066995,Diamonds Are Forever,1971,120,"Action,Adventure,Thriller",6.5,108450,7200000,12.00491,116019547
tt0067116,The French Connection,1971,104,"Action,Crime,Drama",7.7,125188,1800000,6.694959,41158757
tt0067800,Straw Dogs,1971,113,"Crime,Drama,Thriller",7.4,61442,2200000,6.632663,3251794
tt0067927,Vanishing Point,1971,99,"Action,Crime,Thriller",7.2,29162,1300000,5.184013,72266306
tt0067992,Willy Wonka & the Chocolate Factory,1971,100,"Family,Fantasy,Musical",7.8,205806,3000000,12.416635,4000000
tt0068408,Conquest of the Planet of the Apes,1972,88,"Action,Sci-Fi",6.1,33547,1700000,12.843375,9700000
tt0068421,The Cowboys,1972,134,"Adventure,Drama,Western",7.4,14979,6000000,3.189566,7500000
tt0068646,The Godfather,1972,175,"Crime,Drama",9.2,1871404,6000000,41.109264,245066411
tt0068837,The Legend of Boggy Creek,1972,87,"Drama,Horror,Mystery",5.1,3405,100000,1.522753,22000000
tt0069089,Pink Flamingos,1972,93,"Comedy,Crime",6,25682,12000,5.738871,6000000
tt0069442,A Gorgeous Girl Like Me,1972,98,"Comedy,Crime,Drama",6.5,2632,0,0.326486,457163
tt0069768,Battle for the Planet of the Apes,1973,93,"Action,Sci-Fi",5.4,31750,1700000,11.644764,8844595
tt0070047,The Exorcist,1973,122,Horror,8.1,413312,8000000,12.137595,441306145
tt0070165,Heavy Traffic,1973,77,"Animation,Comedy,Drama",6.5,3427,950000,0.820911,1500000
tt0070355,Magnum Force,1973,124,"Action,Crime,Mystery",7.2,63175,0,10.226181,39768000
tt0070379,Mean Streets,1973,112,"Crime,Drama,Thriller",7.2,111496,500000,8.212399,3000000
tt0070460,Day for Night,1973,116,"Comedy,Drama,Romance",8,23468,0,10.101183,17808
tt0070511,Papillon,1973,151,"Biography,Crime,Drama",8,132446,12000000,15.698433,53267000
tt0070608,Robin Hood,1973,83,"Adventure,Animation,Comedy",7.5,130094,15000000,11.179855,32056467
tt0070634,The Satanic Rites of Dracula,1973,87,Horror,5.5,6450,0,2.067929,544476
tt0070849,Last Tango in Paris,1972,129,"Drama,Romance",6.9,55031,1250000,12.74564,36144000
tt0071110,Airport 1975,1974,107,"Action,Drama,Thriller",5.7,10849,3000000,8.480501,47000000
tt0071230,Blazing Saddles,1974,93,"Comedy,Western",7.7,142162,2600000,13.233262,119500000
tt0071455,Earthquake,1974,122,"Action,Drama,Thriller",5.9,16586,7000000,6.657792,79666653
tt0071877,Murder on the Orient Express,1974,128,"Crime,Drama,Mystery",7.2,64243,0,9.590695,27634716
tt0072081,The Return of the Pink Panther,1975,113,"Comedy,Crime,Mystery",7,27977,5000000,6.501177,41833347
tt0072288,Thunderbolt and Lightfoot,1974,115,"Action,Comedy,Crime",7,26271,0,8.283863,21700000
tt0072737,Breakout,1975,96,"Action,Adventure,Drama",6.1,4158,1000000,2.301183,16000000
tt0072785,"Cry, Onion",1975,92,"Comedy,Western",5.4,717,0,1.62344,39598448
tt0072926,The Eiger Sanction,1975,129,"Action,Crime,Thriller",6.3,20570,0,5.47591,14200000
tt0073075,The Great Waldo Pepper,1975,107,"Adventure,Drama",6.7,6014,0,5.279919,20642922
tt0073195,Jaws,1975,124,"Adventure,Thriller",8.1,612850,7000000,19.726114,470654000
tt0073629,The Rocky Horror Picture Show,1975,100,"Comedy,Horror,Musical",7.4,155667,1200000,8.699428,112892319
tt0073636,Rooster Cogburn,1975,108,"Adventure,Drama,Western",6.8,12418,0,12.140407,8022000
tt0074119,All the President's Men,1976,138,"Drama,History,Thriller",7.9,117930,8500000,12.421754,70600000
tt0074706,Jackson County Jail,1976,89,"Action,Crime,Drama",6.1,1328,445000,2.482536,2300000
tt0074751,King Kong,1976,134,"Adventure,Horror",5.9,33502,23000000,5.810716,90614445
tt0074812,Logan's Run,1976,119,"Action,Adventure,Sci-Fi",6.8,57880,9000000,6.842274,25000000
tt0075148,Rocky,1976,120,"Drama,Sport",8.1,583316,1000000,14.774066,117235147
tt0075223,Silver Streak,1976,114,"Action,Comedy,Crime",6.9,20715,6500000,8.254209,51079064
tt0075265,A Star Is Born,1976,139,"Drama,Music,Romance",6.1,12125,6000000,2.447359,161000000
tt0075784,A Bridge Too Far,1977,175,"Drama,History,War",7.4,57846,22000000,7.719173,50750000
tt0076001,La escopeta nacional,1978,95,Comedy,7.4,2020,0,0.619347,1622164
tt0076070,The Gauntlet,1977,109,"Action,Crime,Thriller",6.4,23886,5500000,6.389326,26414658
tt0076095,The Goodbye Girl,1977,111,"Comedy,Drama,Romance",7.4,14923,0,3.937139,102000000
tt0076141,High Anxiety,1977,94,"Comedy,Mystery,Thriller",6.6,22680,3400000,5.101153,31063038
tt0076271,Kingdom of the Spiders,1977,97,"Horror,Sci-Fi",5.7,5485,500000,2.884359,17000000
tt0076299,The Last Wave,1977,106,"Drama,Fantasy,Mystery",7,10221,810000,3.099222,1258000
tt0076504,Orca,1977,92,"Adventure,Drama,Horror",5.7,12223,6000000,5.253453,14717854
tt0076729,Smokey and the Bandit,1977,96,"Action,Adventure,Comedy",6.9,52126,0,7.68372,126737428
tt0076740,Sorcerer,1977,121,"Adventure,Drama,Thriller",7.7,22524,22000000,13.966833,12000000
tt0076752,The Spy Who Loved Me,1977,125,"Action,Adventure,Thriller",7,110792,14000000,9.781451,185438673
tt0077280,The Buddy Holly Story,1978,114,"Biography,Drama,Music",7.2,9475,1200000,2.017413,14363400
tt0077372,Corvette Summer,1978,105,"Adventure,Comedy",5.6,3416,0,5.695908,15500000
tt0077413,Death on the Nile,1978,140,"Crime,Drama,Mystery",7.2,36138,7920000,11.162277,14560084
tt0077416,The Deer Hunter,1978,183,"Drama,War",8.1,342334,15000000,7.729445,50000000
tt0077523,Every Which Way but Loose,1978,114,"Action,Comedy",6.3,28113,5,6.759519,85
tt0077629,Gray Lady Down,1978,111,"Adventure,Drama,History",6.2,3324,0,3.507084,5438927
tt0077681,The Hills Have Eyes,1977,90,"Horror,Thriller",6.3,36309,230000,4.788002,25000000
tt0077699,House Calls,1978,98,"Comedy,Drama,Romance",6.6,1917,0,0.975702,28460702
tt0077869,The Lord of the Rings,1978,132,"Adventure,Animation,Fantasy",6.2,34208,4000000,7.914795,30471420
tt0077975,National Lampoon's Animal House,1978,109,Comedy,7.4,123128,2700000,7.525382,141000000
tt0078034,The One and Only,1978,97,"Comedy,Romance",5.7,865,0,0.43491,16928137
tt0078056,Paradise Alley,1978,107,Drama,5.7,5399,0,5.634675,7185518
tt0078163,Revenge of the Pink Panther,1978,99,"Comedy,Crime,Mystery",6.6,22161,0,6.970037,49579269
tt0078504,The Wiz,1978,134,"Adventure,Family,Fantasy",5.5,15690,24000000,4.233081,21049053
tt0078748,Alien,1979,117,"Horror,Sci-Fi",8.5,889107,11000000,23.37742,104931801
tt0078788,Apocalypse Now,1979,147,"Drama,Mystery,War",8.5,672367,31500000,13.5963,89460381
tt0078872,The Black Stallion,1979,118,"Adventure,Family,Sport",7.4,13192,2700000,10.246132,37799643
tt0078902,Breaking Away,1979,101,"Comedy,Drama,Sport",7.7,24220,2300000,4.806374,20000000
tt0079100,The Electric Horseman,1979,121,"Comedy,Drama,Romance",6.4,9647,0,5.916187,61801971
tt0079417,Kramer vs. Kramer,1979,105,Drama,7.8,147413,8000000,9.741644,106260000
tt0079470,Life of Brian,1979,94,Comedy,8,403599,4000000,10.714173,20045115
tt0079489,Love at First Bite,1979,96,"Comedy,Horror",6.1,6000,0,2.738421,43885000
tt0079522,Manhattan,1979,96,"Comedy,Drama,Romance",7.8,141788,0,12.050759,39946780
tt0079576,More American Graffiti,1979,110,"Comedy,Drama,War",5.3,4696,2500000,3.084426,15014674
tt0079588,The Muppet Movie,1979,95,"Adventure,Comedy,Family",7.6,36977,0,6.769866,76657000
tt0079640,North Dallas Forty,1979,119,"Comedy,Drama,Sport",6.9,5564,0,5.66966,26079312
tt0079817,Rocky II,1979,119,"Drama,Sport",7.3,213918,7000000,11.789813,200182160
tt0079826,The Rose,1979,125,"Drama,Music,Romance",6.9,8842,9250000,2.132964,29174648
tt0079971,Supersonic Man,1979,88,"Adventure,Comedy,Fantasy",3.1,1009,0,1.021641,519204
tt0080120,The Warriors,1979,93,"Action,Crime,Thriller",7.5,104445,4000000,11.457298,22490039
tt0080421,Battle Beyond the Stars,1980,104,"Action,Adventure,Sci-Fi",5.5,9455,2000000,2.921405,11000000
tt0080453,The Blue Lagoon,1980,104,"Adventure,Drama,Romance",5.8,72218,4500000,11.578578,58853106
tt0080487,Caddyshack,1980,98,"Comedy,Sport",7.2,120457,6000000,10.451986,39846344
tt0080554,Pals,1982,117,Drama,6.4,586,0,1.269717,646714
tt0080661,Dressed to Kill,1980,104,"Crime,Drama,Mystery",7.1,43324,6500000,9.3806,31899000
tt0080678,The Elephant Man,1980,124,"Biography,Drama",8.2,243900,5000000,8.405672,26010864
tt0080761,Friday the 13th,1980,95,"Horror,Mystery,Thriller",6.4,143727,550000,12.146747,59754601
tt0080855,Heaven's Gate,1980,219,"Adventure,Drama,Western",6.7,15662,44000000,4.393576,3484331
tt0081031,The Last Flight of Noah's Ark,1980,97,"Adventure,Family",5.7,1450,0,1.012665,11000000
tt0081063,Little Miss Marker,1980,103,"Comedy,Drama,Romance",6.3,1604,0,1.014961,6321392
tt0081163,The Mirror Crack'd,1980,105,"Crime,Mystery,Thriller",6.2,8366,0,2.481504,11000000
tt0081218,Navajeros,1980,95,"Crime,Drama,Thriller",6.6,722,0,1.099467,680224
tt0081398,Raging Bull,1980,129,"Biography,Drama,Sport",8.2,357452,18000000,8.868558,23000000
tt0081439,Rough Cut,1980,112,"Adventure,Comedy,Crime",5.6,1315,14000000,0.825638,16656125
tt0081529,Smokey and the Bandit II,1980,101,"Action,Adventure,Comedy",5.2,16411,0,7.190986,66132626
tt0081562,Stir Crazy,1980,111,"Comedy,Crime",6.7,28948,0,6.481464,101300000
tt0081573,Superman II,1980,127,"Action,Adventure,Sci-Fi",6.8,109284,54000000,10.301621,190458706
tt0081590,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980,107,Comedy,7.2,8452,0,2.972928,5010362
tt0081633,Time Bandits,1981,116,"Adventure,Comedy,Fantasy",6.9,64960,5000000,9.841623,42365581
tt0081698,Used Cars,1980,113,Comedy,6.7,15689,8000000,6.963023,11715321
tt0081748,Where the Buffalo Roam,1980,99,"Biography,Comedy",6.5,12129,0,3.216608,6659377
tt0081760,Windwalker,1980,108,"Adventure,Drama,Western",6.8,1155,0,1.178642,18
tt0081777,Xanadu,1980,96,"Fantasy,Musical,Romance",5.3,14459,20000000,3.782547,22471595
tt0082001,All Night Long,1981,87,"Comedy,Drama,Romance",5.5,1897,0,0.708186,10000000
tt0082005,The Amateur,1981,112,"Crime,Thriller",5.8,857,10000000,1.701134,6892098
tt0082009,American Pop,1981,96,"Animation,Drama,History",7.1,5112,0,2.340967,6000000
tt0082085,Blow Out,1981,108,"Crime,Drama,Mystery",7.4,55942,18000000,7.536295,12000000
tt0082136,The Cannonball Run,1981,95,"Action,Comedy,Sport",6.2,37402,18000000,6.693055,72179579
tt0082242,Dead & Buried,1981,94,"Horror,Mystery",6.5,13575,3000000,3.891243,216166
tt0082340,Escape from New York,1981,99,"Action,Adventure,Sci-Fi",7.1,146114,6000000,10.124544,50244700
tt0082348,Excalibur,1981,140,"Adventure,Drama,Fantasy",7.3,63325,11000000,8.800455,34967437
